time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
10-6-2021 18:39:0,1623364740.3864338,1000.0,78.3,4901.55,2293.27,6865.0,23.2,95401177,122541731,0.0010252391965058843,0.0030373200685421637,67.192,0,0,132.31,48.02,0.02,0.06,6.381725730825837,33423,265,0,405504,42313031,449089
10-6-2021 18:39:5,1623364745.3901281,1000.0,99.0,4914.65,2298.46,6866.66,23.2,95820985,122716545,0.0008389961000323295,0.0003493698648693013,67.192,0,0,139.08,51.84,0.02,0.06,6.397851767025727,34462,267,0,405504,42392178,451293
10-6-2021 18:39:10,1623364750.3934639,1000.0,79.0,4927.75,2302.85,6868.94,23.5,96445289,122896143,0.0012477755554372728,0.0003589565247145995,67.192,0,0,143.82,54.12,0.02,0.06,6.28946030851761,35509,269,0,405504,42472455,453497
10-6-2021 18:39:15,1623364755.4146225,1000.0,79.7,4939.28,2307.83,6872.3,23.4,96713304,123636185,0.0005337712194898204,0.0014738470638348063,67.192,0,0,149.27,57.91,0.02,0.06,6.335899210232481,36548,271,0,405504,42551607,455701
10-6-2021 18:39:20,1623364760.4200807,1000.0,96.2,4951.45,2313.37,6874.48,22.9,96845764,123805102,0.0002646311224991144,0.00033746561466996007,67.679,0,0,155.6,61.91,0.02,0.06,6.409078754253497,37587,273,0,405504,42630772,457905
10-6-2021 18:39:25,1623364765.4240146,1000.0,89.9,4964.59,2318.38,6876.19,23.3,97664381,123998141,0.0016359468675787425,0.0003857744798489805,67.192,0,0,160.63,64.87,0.02,0.06,6.40132192671431,38628,276,0,405504,42711031,461211
10-6-2021 18:39:30,1623364770.4253492,1000.0,91.6,4977.18,2323.72,6878.41,23.6,98137114,124745217,0.000945213690856866,0.0014937532673001124,67.192,0,0,166.78,68.01,0.02,0.06,6.402342561916835,39673,278,0,405504,42790536,463415
10-6-2021 18:39:35,1623364775.4292092,1000.0,65.5,4989.41,2328.77,6880.82,23.3,98913493,125748350,0.0015515601965226315,0.0020047183587118367,67.192,0,0,171.49,71.05,0.02,0.06,6.411426215219304,40716,279,0,405504,42868948,464517
10-6-2021 18:39:40,1623364780.4329705,1000.0,96.6,5002.9,2333.92,6881.98,24.3,99311968,126257559,0.0007963509383962565,0.001017652462487783,69.14,0,0,178.23,74.27,0.02,0.06,6.308648250325072,41761,281,0,405504,42948443,466721
10-6-2021 18:39:45,1623364785.435154,1000.0,78.9,5016.67,2338.62,6883.21,23.4,99858733,126589287,0.0010930526775922112,0.0006631664035413918,68.653,0,0,182.27,76.81,0.02,0.06,6.400301291511785,42806,283,0,405504,43027934,468923
10-6-2021 18:39:50,1623364790.4385464,1000.0,98.0,5030.76,2343.24,6884.28,23.6,100392869,126748432,0.0010675476778760672,0.00031807418933677326,68.653,0,0,187.5,79.68,0.02,0.06,6.395300179019414,43851,285,0,405504,43107435,471127
10-6-2021 18:39:55,1623364795.4552915,1000.0,99.2,5045.62,2347.34,6885.2,23.5,101024698,126920956,0.0012594401122720093,0.00034389628511767605,68.653,0,0,192.75,81.86,0.02,0.06,6.395198115499162,44896,287,0,405504,43186945,473331
10-6-2021 18:40:0,1623364800.4639525,1000.0,99.0,5059.51,2352.08,6886.46,23.7,101670414,127590219,0.001289198841587146,0.001336211406124578,69.14,0,0,197.56,84.7,0.02,0.06,6.404996213443398,45941,289,0,405504,43266471,475535
10-6-2021 18:40:5,1623364805.4664745,1000.0,64.3,5070.84,2357.23,6890.03,23.4,102270849,127767988,0.001200264588526848,0.00035535875763043333,68.166,0,0,202.93,88.0,0.02,0.06,6.387951605561238,46986,291,0,405504,43346012,477741
10-6-2021 18:40:10,1623364810.469959,1000.0,62.8,5082.32,2362.95,6893.41,23.3,102816925,127929166,0.0010913914120460962,0.0003221315073556898,66.705,0,0,207.62,91.35,0.02,0.06,6.406220975686429,48031,293,0,405504,43425531,479947
10-6-2021 18:40:15,1623364815.4756193,1000.0,98.0,5093.13,2368.15,6897.78,23.3,103376301,128997436,0.001117486938744891,0.002134124045459592,68.166,0,0,212.56,94.61,0.02,0.06,6.405506531044661,49074,294,0,405504,43503929,481050
10-6-2021 18:40:20,1623364820.47885,1000.0,91.2,5104.49,2373.25,6901.18,23.2,103963804,129168499,0.0011742473019684947,0.000341905090215091,68.653,0,0,217.28,97.63,0.02,0.06,6.3944836708573956,50121,297,0,405504,43584581,484359
10-6-2021 18:40:25,1623364825.485214,1000.0,98.2,5116.57,2379.2,6903.26,23.3,104472018,129324091,0.0010151359132589044,0.0003107884218376107,68.166,0,0,223.15,100.87,0.02,0.06,6.402036371356077,51164,298,0,405504,43662988,485462
10-6-2021 18:40:30,1623364830.4855225,1000.0,97.3,5127.67,2384.3,6907.6,23.3,105031164,129991244,0.0011182230025899244,0.001334223674759143,69.14,0,0,227.91,103.75,0.02,0.06,6.407343674409205,52204,300,0,405504,43742187,487668
10-6-2021 18:40:35,1623364835.487346,1000.0,82.7,5140.38,2389.75,6909.62,23.4,105629354,130153309,0.0011959438571443825,0.0003240118377239746,68.653,0,0,233.63,107.25,0.02,0.06,6.406527166247186,53251,302,0,405504,43845828,489874
10-6-2021 18:40:40,1623364840.490857,1000.0,98.0,5152.16,2395.81,6911.92,23.4,106342667,130336750,0.001425624939854417,0.0003666245597540408,67.679,0,0,238.58,110.93,0.02,0.06,6.403669387680116,54295,306,0,405504,43927218,494286
10-6-2021 18:40:45,1623364845.492672,1000.0,89.6,5163.71,2400.65,6915.48,23.3,106897162,130498877,0.0011085875648340663,0.00032413633328317237,68.166,0,0,244.0,114.69,0.02,0.06,6.403975578240874,55333,307,0,405504,44005299,495389
10-6-2021 18:40:50,1623364850.495158,1000.0,88.7,5174.96,2404.78,6919.88,23.2,107519235,130666120,0.001243527720374091,0.0003343197768405382,68.166,0,0,248.88,117.34,0.02,0.06,6.407037483848447,56373,309,0,405504,44084469,497595
10-6-2021 18:40:55,1623364855.498779,1000.0,93.7,5187.05,2410.25,6922.24,23.3,108181222,130844722,0.0013230158450996698,0.00035694549283670407,68.653,0,0,254.59,120.9,0.02,0.06,6.411936532820567,57415,312,0,405504,44164807,500904
10-6-2021 18:41:0,1623364860.5043006,1000.0,80.4,5198.54,2415.31,6925.58,23.4,108872954,131524097,0.0013819379160443462,0.0013572511777865239,68.166,0,0,260.27,124.24,0.02,0.06,6.3833587471498765,58450,314,0,405504,44243658,503110
10-6-2021 18:41:5,1623364865.505153,1000.0,98.8,5209.64,2420.49,6929.31,23.4,109495393,131687290,0.001244665822708312,0.0003263303706953413,67.679,0,0,264.83,127.7,0.02,0.06,6.40469002288264,59486,316,0,405504,44322578,505316
10-6-2021 18:41:10,1623364870.5074558,1000.0,70.5,5220.89,2425.73,6932.85,23.4,110136780,131854932,0.0012821834557762458,0.0003351296469888561,69.14,0,0,269.69,130.97,0.02,0.06,6.394789861418153,60520,317,0,405504,44400383,506419
10-6-2021 18:41:15,1623364875.5122697,1000.0,93.8,5233.16,2430.33,6936.12,23.5,110839936,132108560,0.0014049593305776743,0.0005067680928496015,68.166,0,0,274.26,133.92,0.02,0.06,6.396422877742191,61558,320,0,405504,44480371,509728
10-6-2021 18:41:20,1623364880.5166357,1000.0,66.6,5244.9,2435.29,6939.51,23.4,111492171,133183123,0.0013033319511275745,0.0021472510542971473,68.653,0,0,279.52,137.03,0.02,0.06,6.408262246091477,62594,322,0,405504,44559266,511934
10-6-2021 18:41:25,1623364885.5203388,1000.0,87.6,5257.99,2439.98,6941.77,23.3,112201375,133359856,0.0014173582711931147,0.00035320440852388413,69.627,0,0,286.15,140.5,0.02,0.06,6.396627004782697,63630,324,0,405504,44638149,514140
