time_stamp,time,model_number,QOS,QOS_avg,task
22-6-2021 23:27:12,1624418832.141766,,0.0,0.0,None
22-6-2021 23:27:17,1624418837.1573274,1,2.2665469646453857,1.78762686252594,Linear_Regression_Training
22-6-2021 23:27:22,1624418842.1644905,1,2.0164783000946045,2.12652850151062,Linear_Regression_Training
22-6-2021 23:27:27,1624418847.1671116,1,1.9699430465698242,2.0593276023864746,Linear_Regression_Training
22-6-2021 23:27:32,1624418852.172177,1,2.574148178100586,2.506821393966675,Linear_Regression_Training
22-6-2021 23:27:37,1624418857.1771245,1,2.156816244125366,2.126006841659546,Linear_Regression_Training
22-6-2021 23:27:42,1624418862.1821458,1,2.0348453521728516,2.1656262079874673,Linear_Regression_Training
22-6-2021 23:27:47,1624418867.1870856,1,2.5338046550750732,2.4524996280670166,Linear_Regression_Training
22-6-2021 23:27:52,1624418872.1921318,1,2.4318416118621826,2.14033043384552,Linear_Regression_Training
22-6-2021 23:27:57,1624418877.1975114,1,2.360377550125122,2.2588988542556763,Linear_Regression_Training
22-6-2021 23:28:2,1624418882.2028375,1,2.4662368297576904,2.153691530227661,Linear_Regression_Training
22-6-2021 23:28:7,1624418887.207068,1,1.7888247966766357,2.172713279724121,Linear_Regression_Training
22-6-2021 23:28:12,1624418892.2072382,1,2.1107754707336426,1.9447799921035767,Linear_Regression_Training
22-6-2021 23:28:17,1624418897.2122533,1,1.9716968536376953,2.1036322911580405,Linear_Regression_Training
22-6-2021 23:28:22,1624418902.2172818,1,2.1143505573272705,2.0765066146850586,Linear_Regression_Training
22-6-2021 23:28:27,1624418907.222285,1,2.35564923286438,1.9596745173136394,Linear_Regression_Training
22-6-2021 23:28:32,1624418912.2271357,1,2.3926963806152344,2.219135284423828,Linear_Regression_Training
22-6-2021 23:28:37,1624418917.2321837,1,1.94608736038208,2.179918885231018,Linear_Regression_Training
22-6-2021 23:28:42,1624418922.2371595,1,2.6687216758728027,2.555633544921875,Linear_Regression_Training
22-6-2021 23:28:47,1624418927.242191,1,2.0113277435302734,1.9160474141438801,Linear_Regression_Training
22-6-2021 23:28:52,1624418932.2471387,1,2.6478147506713867,2.0608954429626465,Linear_Regression_Training
22-6-2021 23:28:57,1624418937.2538595,1,1.9412899017333984,2.2441144784291587,Linear_Regression_Training
22-6-2021 23:29:2,1624418942.2588668,1,2.378377676010132,2.2113200426101685,Linear_Regression_Training
22-6-2021 23:29:7,1624418947.2594693,1,1.805954933166504,2.270386815071106,Linear_Regression_Training
22-6-2021 23:29:12,1624418952.2644985,1,1.9437873363494873,1.971725622812907,Linear_Regression_Training
22-6-2021 23:29:17,1624418957.2671406,1,1.9359581470489502,2.0692312717437744,Linear_Regression_Training
22-6-2021 23:29:22,1624418962.2721622,1,1.7859776020050049,1.939677635828654,Linear_Regression_Training
22-6-2021 23:29:27,1624418967.2729836,1,1.957418441772461,2.1506917476654053,Linear_Regression_Training
22-6-2021 23:29:32,1624418972.278032,1,2.039409875869751,2.034371495246887,Linear_Regression_Training
22-6-2021 23:29:37,1624418977.283998,1,2.0343666076660156,2.2754404544830322,Linear_Regression_Training
22-6-2021 23:29:42,1624418982.2874672,1,1.9399471282958984,2.3390979766845703,Linear_Regression_Training
22-6-2021 23:29:47,1624418987.292656,1,2.310353994369507,2.170371413230896,Linear_Regression_Training
22-6-2021 23:29:52,1624418992.2978718,1,2.2012453079223633,2.106817841529846,Linear_Regression_Training
22-6-2021 23:29:57,1624418997.3028882,1,2.326633930206299,2.194654623667399,Linear_Regression_Training
22-6-2021 23:30:2,1624419002.3070743,1,2.4344236850738525,2.2632203102111816,Linear_Regression_Training
22-6-2021 23:30:7,1624419007.31213,1,1.9865572452545166,2.360743999481201,Linear_Regression_Training
22-6-2021 23:30:12,1624419012.3172278,1,2.411918878555298,2.327461838722229,Linear_Regression_Training
22-6-2021 23:30:17,1624419017.3222327,1,2.018406867980957,1.980037768681844,Linear_Regression_Training
22-6-2021 23:30:22,1624419022.327272,1,2.477447986602783,2.123186469078064,Linear_Regression_Training
22-6-2021 23:30:27,1624419027.3323085,1,2.0180907249450684,1.9616755644480388,Linear_Regression_Training
22-6-2021 23:30:32,1624419032.3371427,1,1.8662035465240479,1.908821702003479,Linear_Regression_Training
22-6-2021 23:30:37,1624419037.3372452,1,2.274813413619995,2.1430004835128784,Linear_Regression_Training
22-6-2021 23:30:42,1624419042.3422747,1,2.516741991043091,2.4605700969696045,Linear_Regression_Training
22-6-2021 23:30:47,1624419047.347078,2,2.2442498207092285,2.1291189988454184,Linear_Regression_Training
22-6-2021 23:30:52,1624419052.3521364,2,1.950653314590454,2.1080187559127808,Linear_Regression_Training
