time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
23-6-2021 0:10:39,1624421439.1763134,1000.0,57.5,15641.65,5955.1,7803.86,20.6,2537512467,339657406,0.0,0.0,61.835,0,0,13543,243,0,471040,43390581,446813,6.235876960385065,30.2,3.87,0.02,0.07
23-6-2021 0:10:46,1624421446.1305263,1000.0,33.7,15655.82,5957.45,7815.26,21.0,2537872544,340447135,0.000517782536962748,0.001135612341618748,61.348,0,0,14593,249,0,471040,43473146,452693,6.245981248890059,36.66,4.12,0.02,0.07
23-6-2021 0:10:51,1624421451.1309743,1000.0,32.1,15661.41,5957.9,7828.69,20.9,2538035880,340903422,0.00032664273356168924,0.0009124922427919289,60.861,0,0,15637,252,0,471040,43552754,455633,6.264556809576008,40.32,4.3,0.02,0.07
23-6-2021 0:10:56,1624421456.139351,1000.0,32.2,15667.0,5958.36,7842.25,20.9,2538209958,341385735,0.00034757370293812616,0.0009630126459701768,61.348,0,0,16687,255,0,471040,43632680,458573,6.264556809576008,43.97,4.46,0.02,0.07
23-6-2021 0:11:1,1624421461.148505,1000.0,21.7,15672.33,5959.03,7856.14,20.7,2538384041,341899777,0.00034752973690374285,0.001026205206812117,59.887,0,0,17737,258,0,471040,43712568,461513,6.254860775152024,48.24,4.68,0.02,0.07
23-6-2021 0:11:6,1624421466.1570425,1000.0,29.1,15677.36,5959.59,7870.31,20.7,2538553847,342362523,0.0003390330988884879,0.0009239144104345678,60.861,0,0,18787,261,0,471040,43792485,464453,6.281703480978422,52.4,4.96,0.02,0.07
23-6-2021 0:11:11,1624421471.1584048,1000.0,29.0,15682.97,5960.21,7883.79,20.8,2538723802,342830332,0.00033981741173311984,0.0009353631465120712,60.374,0,0,19837,264,0,471040,43872415,467393,6.35120873827035,56.33,5.33,0.02,0.07
23-6-2021 0:11:16,1624421476.1617107,1000.0,76.3,15690.8,5966.12,7889.91,20.9,2538866844,343049211,0.0002858949712757249,0.0004374687533581703,62.322,0,0,20884,265,0,471040,43950534,468495,6.487769728368146,62.36,10.99,0.02,0.07
23-6-2021 0:11:21,1624421481.1657772,1000.0,67.2,15697.9,5971.54,7897.21,20.9,2539010657,343237976,0.0002873922657506636,0.00037722320683404153,61.835,0,0,21936,269,0,471040,44031946,472903,6.467561151358159,68.01,16.18,0.02,0.07
23-6-2021 0:11:26,1624421486.1689434,1000.0,76.3,15705.21,5977.58,7903.68,21.0,2539152508,343428721,0.0002835224623079562,0.0003812485782471122,63.296,0,0,22986,272,0,471040,44112256,476209,6.491750205657993,73.98,21.85,0.02,0.07
