time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
23-6-2021 13:5:54,1624467954.0483065,1000.0,97.5,512.08,152.41,1096.33,22.2,37616352,20288853,0.0018899076448794835,0.000421440403420682,56.965,0,0,147.21,47.73,0.02,0.06,6.455619719488621,34277,302,174555136,471040,44976535,508899
23-6-2021 13:5:59,1624467959.069361,1000.0,90.5,525.74,157.34,1097.57,22.3,38604380,20498211,0.0019677699151840217,0.0004169602216770136,56.478,0,0,154.01,51.06,0.02,0.06,6.422244948366066,35316,305,174555136,471040,45056163,512205
23-6-2021 13:6:4,1624467964.0720248,1000.0,87.4,539.2,162.47,1098.8,22.3,39513490,20698440,0.0018172518224614923,0.00040024476153561415,57.452,0,0,160.7,54.8,0.02,0.06,6.455007338367107,36356,308,174555136,471040,45135803,515511
23-6-2021 13:6:9,1624467969.07517,1000.0,99.3,552.52,167.89,1099.77,22.3,40488977,20914169,0.0019497475238392597,0.00043118676473425033,57.939,0,0,167.5,58.41,0.02,0.06,6.50777417833763,37398,312,174555136,471040,45216527,519919
23-6-2021 13:6:14,1624467974.0842414,1000.0,95.4,565.15,172.57,1102.18,22.2,41485878,21107984,0.001990191255671702,0.00038692800811515973,56.965,0,0,173.02,61.53,0.02,0.06,6.454701147806349,38436,314,174555136,471040,45295078,522123
23-6-2021 13:6:19,1624467979.0887818,1000.0,96.8,578.63,177.98,1103.12,22.3,42441117,21821278,0.0019087446905457137,0.0014252937069132588,57.452,0,0,179.69,65.31,0.02,0.06,6.460620831980991,39478,318,174555136,471040,45375807,526531
23-6-2021 13:6:24,1624467984.0915987,1000.0,99.7,592.13,183.01,1104.26,22.3,43372887,22026382,0.00186249070420884,0.000409977025871245,57.939,0,0,185.81,68.49,0.02,0.06,6.454394957245592,40518,321,174555136,471040,45455461,529837
23-6-2021 13:6:29,1624467989.100182,1000.0,98.7,605.17,187.95,1105.98,22.2,44381891,22232670,0.0020145497001840436,0.0004118689604318377,58.426,0,0,191.98,71.68,0.02,0.06,6.467561151358159,41558,324,174555136,471040,45535097,533144
23-6-2021 13:6:34,1624467994.1124647,1000.0,89.1,618.36,193.21,1107.22,22.2,45829072,22454367,0.0028872693593337633,0.0004423074619941924,58.426,0,0,198.83,75.86,0.02,0.06,6.462662102386041,42598,327,174555136,471040,45614765,536453
23-6-2021 13:6:39,1624467999.121654,1000.0,93.4,631.39,198.61,1108.42,22.3,51905196,22757054,0.01212995467823966,0.0006042634402609836,58.913,0,0,204.16,78.72,0.02,0.06,6.447658764908929,43638,330,174555136,471040,45694406,539762
