time_stamp,time,model_number,QOS,QOS_avg,task
10-6-2021 18:37:20,1623364640.7239327,,0.0,0.0,None
10-6-2021 18:37:25,1623364645.7450964,1,0.0,0.0,Linear_Regression_Training
10-6-2021 18:37:30,1623364650.7501643,1,0.0,0.0,Linear_Regression_Training
10-6-2021 18:37:35,1623364655.7552257,1,0.0,0.0,Linear_Regression_Training
10-6-2021 18:37:40,1623364660.7602544,1,0.0,0.0,Linear_Regression_Training
10-6-2021 18:37:45,1623364665.7652986,1,0.0,0.0,Linear_Regression_Training
10-6-2021 18:37:50,1623364670.7660077,1,0.0,0.0,Linear_Regression_Training
10-6-2021 18:37:55,1623364675.771243,1,2.160963296890259,16.679775953292847,Linear_Regression_Training
10-6-2021 18:38:0,1623364680.7762854,1,2.4817137718200684,2.294684410095215,Linear_Regression_Training
10-6-2021 18:38:5,1623364685.7775106,1,2.242053270339966,2.3008421262105307,Linear_Regression_Training
10-6-2021 18:38:10,1623364690.782565,1,2.575665235519409,2.575665235519409,Linear_Regression_Training
10-6-2021 18:38:15,1623364695.7876132,1,2.9126484394073486,3.295448064804077,Linear_Regression_Training
10-6-2021 18:38:20,1623364700.7926219,1,2.630620002746582,2.7857857942581177,Linear_Regression_Training
10-6-2021 18:38:25,1623364705.7977161,1,1.9273629188537598,2.3066565990448,Linear_Regression_Training
10-6-2021 18:38:30,1623364710.802721,1,2.7717015743255615,2.7676066160202026,Linear_Regression_Training
10-6-2021 18:38:35,1623364715.8077447,1,2.6393091678619385,2.4434043169021606,Linear_Regression_Training
10-6-2021 18:38:40,1623364720.8128085,1,1.6329641342163086,1.997923493385315,Linear_Regression_Training
10-6-2021 18:38:45,1623364725.8175848,1,2.4554314613342285,2.286590814590454,Linear_Regression_Training
10-6-2021 18:38:50,1623364730.8226223,1,2.0313878059387207,2.653089761734009,Linear_Regression_Training
10-6-2021 18:38:55,1623364735.8276727,1,1.8098375797271729,1.8967374165852864,Linear_Regression_Training
10-6-2021 18:39:0,1623364740.8327084,1,2.0849220752716064,1.9646754264831543,Linear_Regression_Training
10-6-2021 18:39:5,1623364745.8377318,1,1.8297054767608643,2.1171208222707114,Linear_Regression_Training
10-6-2021 18:39:10,1623364750.84284,1,2.5881054401397705,2.5881054401397705,Linear_Regression_Training
10-6-2021 18:39:15,1623364755.8479893,1,3.1575450897216797,3.141050100326538,Linear_Regression_Training
10-6-2021 18:39:20,1623364760.8530092,1,2.4022059440612793,2.102544069290161,Linear_Regression_Training
10-6-2021 18:39:25,1623364765.8575737,1,2.057164430618286,2.089808225631714,Linear_Regression_Training
10-6-2021 18:39:30,1623364770.862615,1,2.615757942199707,2.4089349508285522,Linear_Regression_Training
10-6-2021 18:39:35,1623364775.8677182,1,2.171142816543579,2.3156005144119263,Linear_Regression_Training
10-6-2021 18:39:40,1623364780.8727431,1,2.3051652908325195,2.5504961013793945,Linear_Regression_Training
10-6-2021 18:39:45,1623364785.8778334,1,2.3852310180664062,2.2200984954833984,Linear_Regression_Training
10-6-2021 18:39:50,1623364790.8828578,1,2.6116394996643066,2.9607961177825928,Linear_Regression_Training
10-6-2021 18:39:55,1623364795.887544,1,2.5160768032073975,2.631002187728882,Linear_Regression_Training
10-6-2021 18:40:0,1623364800.8925548,1,2.4130430221557617,2.4507330656051636,Linear_Regression_Training
10-6-2021 18:40:5,1623364805.897633,1,1.821826457977295,2.114375591278076,Linear_Regression_Training
10-6-2021 18:40:10,1623364810.9027023,1,2.316807746887207,2.399528384208679,Linear_Regression_Training
10-6-2021 18:40:15,1623364815.907731,1,2.7635140419006348,3.1715240478515625,Linear_Regression_Training
10-6-2021 18:40:20,1623364820.9130447,1,2.522996664047241,2.4221214056015015,Linear_Regression_Training
10-6-2021 18:40:25,1623364825.9181225,1,2.798185348510742,2.5234967470169067,Linear_Regression_Training
10-6-2021 18:40:30,1623364830.9231217,1,2.478316307067871,2.7595794200897217,Linear_Regression_Training
10-6-2021 18:40:35,1623364835.927507,1,3.1660003662109375,2.685392379760742,Linear_Regression_Training
10-6-2021 18:40:40,1623364840.932576,1,1.923015832901001,2.0311412811279297,Linear_Regression_Training
10-6-2021 18:40:45,1623364845.9376729,1,2.258535146713257,2.2368134260177612,Linear_Regression_Training
10-6-2021 18:40:50,1623364850.9426715,1,2.5912256240844727,3.1015995740890503,Linear_Regression_Training
10-6-2021 18:40:55,1623364855.9475265,1,2.2028934955596924,2.2022303342819214,Linear_Regression_Training
10-6-2021 18:41:0,1623364860.952609,1,2.276829957962036,2.302563786506653,Linear_Regression_Training
10-6-2021 18:41:5,1623364865.952894,1,3.2932167053222656,2.6844775676727295,Linear_Regression_Training
10-6-2021 18:41:10,1623364870.9575038,1,1.818840742111206,1.96168851852417,Linear_Regression_Training
10-6-2021 18:41:15,1623364875.9625378,1,2.073648452758789,2.9257352352142334,Linear_Regression_Training
10-6-2021 18:41:20,1623364880.9676032,1,2.2255172729492188,2.1942970752716064,Linear_Regression_Training
10-6-2021 18:41:25,1623364885.9726129,1,1.837059736251831,2.2049136956532798,Linear_Regression_Training
10-6-2021 18:41:30,1623364890.9775875,1,2.7447314262390137,2.7447314262390137,Linear_Regression_Training
10-6-2021 18:41:35,1623364895.9826262,1,2.7447314262390137,0.0,Linear_Regression_Training
10-6-2021 18:41:40,1623364900.987567,1,1.7127914428710938,3.8140533765157065,Linear_Regression_Training
10-6-2021 18:41:45,1623364905.9925854,1,2.9158971309661865,2.224258065223694,Linear_Regression_Training
