time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
11-6-2021 15:46:52,1623440812.7566514,1000.0,64.3,199.54,67.72,2340.28,20.8,5492339,9375863,0.0,0.0,58.426,0,0,12899,232,172380160,438272,40778273,424623,34.32,3.93,0.0,0.09,6.167902655896924
11-6-2021 15:47:1,1623440821.4750443,1000.0,80.8,219.49,70.46,2351.85,21.8,6634118,10251747,0.0013096209585635806,0.0010046392898017068,59.4,0,0,13943,238,172511232,438272,40859301,430503,40.89,4.26,0.0,0.09,6.176271864557626
11-6-2021 15:47:6,1623440826.4777842,1000.0,96.0,234.58,73.26,2353.57,22.6,9657080,11694066,0.006042612761431962,0.0028830581381624333,59.887,0,0,14991,238,172773376,438272,40936589,430503,44.7,4.58,0.0,0.09,6.178721389043685
11-6-2021 15:47:11,1623440831.4853737,1000.0,92.5,249.96,76.35,2354.75,22.3,15854562,12173523,0.01237617800478238,0.0009574606554143998,60.374,0,0,16045,241,172773376,438272,41016840,433443,49.17,4.88,0.0,0.09,6.192193773717011
11-6-2021 15:47:16,1623440836.4922318,1000.0,87.4,264.7,79.15,2357.05,22.3,20728628,12679161,0.009734779561355477,0.0010098908114589873,60.374,0,0,17099,244,172773376,438272,41097085,436383,52.56,5.21,0.0,0.09,6.198929966053673
11-6-2021 15:47:21,1623440841.494345,1000.0,96.8,280.32,82.29,2357.96,22.4,27432431,13552996,0.013401942060882301,0.0017469317103696344,62.322,0,0,18153,247,172773376,438272,41177298,439323,56.82,5.54,0.0,0.09,6.204747586708064
11-6-2021 15:47:26,1623440846.5101674,1000.0,96.3,295.49,85.4,2359.24,22.5,32535716,14546231,0.0101743733773986,0.0019802036808644822,61.348,0,0,19201,247,172773376,438272,41254566,439323,60.01,5.66,0.0,0.09,6.211483779044726
11-6-2021 15:47:31,1623440851.5180624,1000.0,98.3,311.34,88.99,2359.53,23.1,35194158,15084780,0.005308501883140644,0.001075399945029273,62.322,0,0,20263,250,172773376,438272,41335936,442257,64.63,5.89,0.0,0.09,6.211483779044726
11-6-2021 15:47:36,1623440856.5203617,1000.0,99.5,326.31,93.35,2359.98,24.8,36150169,15381250,0.0019111431383616276,0.0005926674549038366,61.835,0,0,21319,250,174497792,438272,41413574,442257,68.94,7.66,0.0,0.09,6.40009716447128
11-6-2021 15:47:41,1623440861.52382,1000.0,99.8,340.5,98.81,2360.22,23.7,37036118,15570673,0.0017706733097363602,0.0003785841514017066,63.296,0,0,22379,253,174497792,438272,41494519,445563,75.47,11.02,0.0,0.09,6.379378269860029
