time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
22-6-2021 22:23:37,1624415017.8572202,1000.0,85.4,524.6,178.6,3304.83,19.1,15230195,23622011,0.0002700100953893367,0.00034066886694632264,62.322,0,0,6.444494795781103,198.31,82.61,0.04,0.06,33599,328,173494272,475136,44942187,539693
22-6-2021 22:23:42,1624415022.8700702,1000.0,98.5,536.81,183.96,3307.32,19.0,15377780,23824623,0.0002944133549598564,0.0004041852402014191,63.296,0,0,6.32763206509203,205.34,86.21,0.04,0.06,34601,332,173494272,475136,45018176,544105
22-6-2021 22:23:47,1624415027.873791,1000.0,92.3,550.3,189.12,3308.47,19.1,15523792,24030860,0.0002918068513278092,0.00041216728486215786,63.783,0,0,6.421734630764803,214.16,90.54,0.04,0.06,35597,336,173494272,475136,45093809,548517
22-6-2021 22:23:52,1624415032.878506,1000.0,97.3,563.34,194.55,3309.9,19.1,15671447,24245014,0.0002950317870416386,0.0004279044889920089,63.783,0,0,6.448373209550697,221.84,95.04,0.04,0.06,36593,340,173494272,475136,45169454,552929
22-6-2021 22:23:57,1624415037.8872643,1000.0,89.9,576.01,199.79,3311.86,19.1,15821074,24454550,0.00029873072494978757,0.0004183392113928549,63.783,0,0,6.49950703319718,229.58,99.35,0.04,0.06,37589,344,173494272,475136,45245047,557341
22-6-2021 22:24:2,1624415042.890999,1000.0,80.9,588.54,204.64,3314.38,19.1,15964005,24640655,0.00028564863035418996,0.00037193217952764986,62.809,0,0,6.45102686107726,237.36,103.48,0.04,0.06,38583,347,173494272,475136,45319551,560650
22-6-2021 22:24:7,1624415047.8947725,1000.0,87.5,601.93,209.65,3315.83,19.1,16108894,24845792,0.0002895594723125319,0.0004099646037433888,64.757,0,0,6.463376547027807,245.82,107.84,0.04,0.06,39579,351,173494272,475136,45395174,565062
22-6-2021 22:24:12,1624415052.8982615,1000.0,97.0,615.37,215.07,3316.79,19.1,16259362,25064112,0.00030072615223923356,0.0004363355235456673,65.244,0,0,6.333041431665411,254.72,112.38,0.04,0.06,40575,355,173494272,475136,45470797,569472
22-6-2021 22:24:17,1624415057.9017394,1000.0,96.7,628.25,220.77,3318.1,19.1,16402252,25261804,0.0002855813603542572,0.00039510917692738343,65.731,0,0,6.4446989228216065,262.17,117.24,0.04,0.06,41571,359,173494272,475136,45546390,573884
22-6-2021 22:24:22,1624415062.9052265,1000.0,98.0,643.84,224.74,3318.53,20.0,16547339,25753987,0.0002899717673021049,0.0009836799599278496,64.27,0,0,6.354474770918429,269.2,119.53,0.04,0.06,42569,361,173494272,475136,45620175,576090
22-6-2021 22:24:27,1624415067.907252,1000.0,95.2,657.5,230.15,3319.32,19.6,16689893,25954665,0.0002849925435786131,0.00040119346816132074,65.244,0,0,6.450822734036755,277.32,123.78,0.04,0.06,43576,365,173494272,475136,45696418,580498
22-6-2021 22:24:32,1624415072.9108152,1000.0,98.5,671.29,235.31,3320.22,19.2,16837590,26166905,0.0002951836423561567,0.0004241777169046812,64.27,0,0,6.448883527151958,286.01,128.1,0.04,0.06,44583,369,173494272,475136,45772687,584908
22-6-2021 22:24:37,1624415077.921627,1000.0,71.8,683.39,240.39,3322.91,19.2,16982466,26361581,0.00028912680343427,0.0003885118969696151,64.757,0,0,6.363762551261402,293.07,132.27,0.04,0.06,45588,372,173494272,475136,45847847,588217
22-6-2021 22:24:42,1624415082.9251451,1000.0,98.0,696.75,246.02,3323.88,19.2,17130639,26570084,0.00029613763137013925,0.00041671279216569916,65.244,0,0,6.397647639985221,301.67,137.16,0.04,0.06,46595,376,173494272,475136,45924129,592629
22-6-2021 22:24:47,1624415087.9313438,1000.0,97.7,709.61,251.67,3325.25,19.2,17279163,26788295,0.0002966801969775572,0.0004358816249405466,64.757,0,0,6.451741305719027,309.4,141.85,0.04,0.06,47604,381,173494272,475136,46001491,598144
22-6-2021 22:24:52,1624415092.9349039,1000.0,99.3,723.14,257.01,3326.23,19.2,17429502,27003827,0.00030046406560575365,0.0004307572951006678,65.731,0,0,6.456027973569631,317.71,145.9,0.04,0.06,48611,385,173494272,475136,46077750,602556
22-6-2021 22:24:57,1624415097.9372368,1000.0,85.8,735.95,262.39,3327.83,19.2,17571854,27196342,0.0002845712232904483,0.0003848504344987121,64.757,0,0,6.447964955469685,325.82,150.84,0.04,0.06,49616,388,173494272,475136,46152926,605865
22-6-2021 22:25:2,1624415102.940819,1000.0,89.5,747.24,268.02,3330.77,19.2,17713724,27381638,0.00028353686063141886,0.00037032668025346714,65.731,0,0,6.448781463631706,332.37,155.78,0.04,0.06,50621,391,173494272,475136,46228074,609174
22-6-2021 22:25:7,1624415107.9457746,1000.0,85.6,759.56,273.49,3332.93,19.3,17865268,27598281,0.00030278790508045687,0.00043285699282284625,65.731,0,0,6.446229875625393,339.3,160.1,0.04,0.06,51630,396,173494272,475136,46305423,614689
