time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
27-5-2021 20:16:47,1622161007.525928,600.0,88.4,23078.09,7944.94,14251.13,48.4,623906499,1076509246,0.0,0.0,0,0,42.89,4.84,0.02,0.09,12.763953707385472,13556,299,0,602112,43381283,547867
27-5-2021 20:16:54,1622161014.9086344,600.0,85.6,23099.24,7948.7,14255.12,47.8,624213085,1077960844,0.00041527589373594294,0.001966213906686239,0,0,48.15,5.28,0.02,0.09,12.777138312789067,14602,299,0,602112,43459813,547867
27-5-2021 20:16:59,1622161019.9155064,600.0,86.1,23112.19,7952.2,14258.55,48.0,624376922,1079882039,0.00032722426697887746,0.003837116314376389,0,0,51.22,5.63,0.02,0.09,12.785090931921395,15648,299,0,602112,43538347,547867
27-5-2021 20:17:4,1622161024.9216342,600.0,92.1,23126.38,7956.66,14260.07,49.9,624563760,1080307368,0.00037321859565613014,0.0008496167378789442,0,0,53.54,5.89,0.02,0.09,12.785090931921395,16703,302,0,602112,43620855,550996
27-5-2021 20:17:9,1622161029.9303458,600.0,95.6,23140.18,7961.71,14261.28,49.3,624920715,1080917781,0.0007126683071101428,0.0012187026357608763,0,0,58.0,6.3,0.02,0.09,12.785090931921395,17738,302,0,602112,43698744,550996
27-5-2021 20:17:14,1622161034.9366279,600.0,85.6,23153.57,7965.81,14263.75,48.8,625113105,1081184395,0.0003842971620405861,0.0005325588833114446,0,0,59.79,6.48,0.02,0.09,12.785090931921395,18778,302,0,602112,43776954,550996
27-5-2021 20:17:19,1622161039.9422886,600.0,83.6,23165.77,7969.59,14268.08,48.6,625305418,1081444629,0.0003841910364028305,0.0005198794161978348,0,0,62.89,6.87,0.02,0.09,12.785090931921395,19824,305,0,602112,43858286,554125
27-5-2021 20:17:24,1622161044.9474273,600.0,74.8,23178.97,7971.86,14272.84,49.1,625516306,1081744188,0.00042134297439541126,0.0005985029023316405,0,0,66.68,7.27,0.02,0.09,12.793043551053723,20869,305,0,602112,43936788,554125
27-5-2021 20:17:29,1622161049.9502776,600.0,84.3,23192.97,7974.12,14275.74,48.4,625744891,1083159646,0.00045690953468860613,0.002829303130788394,0,0,69.93,7.55,0.02,0.09,12.806437435908169,21926,308,0,602112,44018799,557254
27-5-2021 20:17:34,1622161054.9536068,600.0,57.1,23203.66,7975.54,14283.5,48.1,625903058,1083742333,0.0003161235074530566,0.0011645985457604884,0,0,71.88,7.83,0.02,0.09,12.821924115271122,22977,308,0,602112,44097674,557254
