time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel
29-5-2021 13:50:15,1622310615.3621917,600.0,72.2,712.48,287.14,8097.92,37.5,46706562,15681394,0.0,0.0,0,0,87.73,6.97,0.02,0.08,13562,321,158633984,610304,43399666,575523,12.838875750790029
29-5-2021 13:50:25,1622310625.1301517,600.0,99.0,736.32,293.96,8105.5,37.7,47135249,16097166,0.0004388705490801345,0.0004256487505619384,0,0,96.97,10.52,0.02,0.08,14572,322,160604160,610304,43473491,576687,13.103823535567043
29-5-2021 13:50:30,1622310630.135153,600.0,83.5,750.39,298.65,8106.7,37.9,47350796,16279718,0.0004306632242405465,0.00036473916552566375,0,0,104.44,13.86,0.02,0.08,15577,324,160866304,610304,43548183,579015,13.17288575434778
29-5-2021 13:50:35,1622310635.1424778,600.0,86.1,764.39,303.62,8107.65,39.0,47632727,16447981,0.0005630371848034129,0.00033603373104261914,0,0,110.47,16.41,0.02,0.08,16602,326,160866304,610304,43625054,581343,13.043551053722036
29-5-2021 13:50:40,1622310640.145664,600.0,97.8,778.91,308.47,8108.1,39.7,47846806,16615642,0.0004278853321352646,0.00033510845375366385,0,0,116.51,18.81,0.02,0.08,17627,328,160866304,610304,43701949,583671,13.044388171525437
29-5-2021 13:50:45,1622310645.1494272,600.0,96.7,792.74,313.92,8108.6,39.1,48236861,16780434,0.0007795232997625612,0.0003293361285318019,0,0,122.61,21.72,0.02,0.08,18652,330,160866304,610304,43778837,585999,13.034552037335454
29-5-2021 13:50:50,1622310650.152606,600.0,99.5,806.75,319.34,8109.04,39.2,48430784,16929882,0.0003875995769863148,0.00029870609252873964,0,0,129.16,24.66,0.02,0.08,19677,332,160866304,610304,43855716,588327,13.195278655588808
29-5-2021 13:50:55,1622310655.156412,600.0,99.7,820.73,324.7,8109.52,39.1,48669662,17082797,0.0004773926205977153,0.0003055973868614926,0,0,135.24,27.49,0.02,0.08,20702,334,160866304,610304,43932634,590655,13.243622208735326
29-5-2021 13:51:0,1622310660.1595857,600.0,98.5,833.38,330.38,8111.0,39.1,48856710,17236031,0.0003738586873566584,0.00030627358805445764,0,0,141.41,31.04,0.02,0.08,21727,336,160866304,610304,44009540,592983,13.275223405813783
29-5-2021 13:51:5,1622310665.1655614,600.0,99.1,847.47,335.85,8111.58,39.1,49072265,17395614,0.0004305953762383443,0.0003187850058047538,0,0,148.17,33.95,0.02,0.08,22752,338,160866304,610304,44086405,595311,13.25429546072871
29-5-2021 13:51:10,1622310670.1876493,600.0,93.7,861.15,341.32,8112.34,39.6,49385365,17635295,0.0006234458888302374,0.00047725370195055933,0,0,153.7,36.24,0.02,0.08,23775,339,160866304,610304,44162140,596475,13.177489902266496
29-5-2021 13:51:15,1622310675.1943355,600.0,95.7,874.69,346.65,8113.02,39.4,49649722,17797596,0.0005280079255588355,0.000324168508214742,0,0,160.06,38.61,0.02,0.08,24800,341,160866304,610304,44238999,598803,13.01299625389783
29-5-2021 13:51:20,1622310680.2164485,600.0,99.3,888.59,352.23,8113.65,39.4,49950970,17963244,0.0005998431236289282,0.00032983725615733447,0,0,166.15,41.1,0.02,0.08,25823,342,160866304,610304,44314744,599967,13.019902475775904
29-5-2021 13:51:25,1622310685.2323241,600.0,99.7,902.31,357.55,8114.24,39.4,50258721,18121470,0.0006135538954640738,0.0003154504084916005,0,0,172.42,44.22,0.02,0.08,26848,344,160866304,610304,44391651,602295,13.221020028043446
29-5-2021 13:51:30,1622310690.2346413,600.0,99.8,915.8,362.95,8115.18,39.1,50554945,18277098,0.0005921735642475642,0.0003111118189502536,0,0,178.11,47.24,0.02,0.08,27873,346,160866304,610304,44468552,604623,13.232739677291086
29-5-2021 13:51:35,1622310695.2575274,600.0,97.0,929.11,368.37,8116.28,39.5,50786962,18426108,0.00046191969766528186,0.0002966621159186769,0,0,184.06,49.34,0.02,0.08,28896,347,160866304,610304,44544266,605787,13.069292426176673
