time_stamp,time,model_number,QOS
27-5-2021 18:28:37,1622154517.829087,None,0.0
27-5-2021 18:28:42,1622154522.8388824,1,0.0
27-5-2021 18:28:47,1622154527.8421974,1,0.0
27-5-2021 18:28:52,1622154532.8472404,1,0.0
27-5-2021 18:28:57,1622154537.849034,1,0.0
27-5-2021 18:29:2,1622154542.8540285,1,0.0
27-5-2021 18:29:7,1622154547.859085,1,0.0
27-5-2021 18:29:12,1622154552.8641589,1,0.0
27-5-2021 18:29:17,1622154557.8688982,1,0.0
27-5-2021 18:29:22,1622154562.8706315,1,0.0
27-5-2021 18:29:27,1622154567.875693,1,0.0
27-5-2021 18:29:32,1622154572.8788834,1,0.0
27-5-2021 18:29:37,1622154577.8839152,1,59.27190589904785
27-5-2021 18:29:42,1622154582.8890045,1,2.3291780948638916
27-5-2021 18:29:47,1622154587.8940184,1,2.22898530960083
27-5-2021 18:29:52,1622154592.8990955,1,2.0363476276397705
27-5-2021 18:29:57,1622154597.9041665,1,2.5384888648986816
27-5-2021 18:30:2,1622154602.9092176,1,2.401812791824341
27-5-2021 18:30:7,1622154607.9143057,1,3.270977020263672
27-5-2021 18:30:12,1622154612.9193022,1,2.947080373764038
27-5-2021 18:30:17,1622154617.9243817,1,2.791168451309204
27-5-2021 18:30:22,1622154622.9294226,1,2.9471404552459717
27-5-2021 18:30:27,1622154627.93443,1,2.7007315158843994
27-5-2021 18:30:32,1622154632.9394548,1,2.765956401824951
27-5-2021 18:30:37,1622154637.944574,1,2.455507278442383
27-5-2021 18:30:42,1622154642.9496381,1,3.0005290508270264
27-5-2021 18:30:47,1622154647.954635,1,2.489744186401367
27-5-2021 18:30:52,1622154652.9596884,1,2.5500478744506836
27-5-2021 18:30:57,1622154657.9598875,1,2.9398159980773926
27-5-2021 18:31:2,1622154662.9643545,1,2.7336161136627197
27-5-2021 18:31:7,1622154667.9693708,1,2.8715012073516846
27-5-2021 18:31:12,1622154672.9744122,1,2.357027530670166
27-5-2021 18:31:17,1622154677.9798841,1,2.5345966815948486
27-5-2021 18:31:22,1622154682.9849155,1,2.427290201187134
27-5-2021 18:31:27,1622154687.9898536,1,3.2102763652801514
27-5-2021 18:31:32,1622154692.994942,1,3.256599187850952
27-5-2021 18:31:38,1622154698.000014,1,2.46785569190979
