time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
27-5-2021 18:28:53,1622154533.5740788,600.0,68.0,8407.92,2757.35,8448.1,50.2,200135729,792221659,0.0,0.0,0,0,13578,322,2412544,634880,43457197,582380,69.91,7.59,0.02,0.17,12.832178808362807
27-5-2021 18:29:1,1622154541.7174938,600.0,78.6,8429.57,2760.28,8455.32,50.1,201746007,792761221,0.00197739892305524,0.0006625746099254484,0,0,14611,325,2412544,634880,43537560,585509,77.6,8.1,0.02,0.17,12.859803695875103
27-5-2021 18:29:6,1622154546.724296,600.0,68.7,8441.82,2762.07,8460.97,50.1,202214670,793111864,0.0009360525341352742,0.0007003332217964613,0,0,15638,325,2412544,634880,43614771,585509,81.52,8.58,0.02,0.17,12.871732624573593
27-5-2021 18:29:11,1622154551.7263737,600.0,72.2,8453.45,2764.04,8466.91,50.3,202472362,793507199,0.0005151699386994445,0.0007903416004988314,0,0,16676,328,2412544,634880,43695477,588638,85.41,8.92,0.02,0.17,12.880940920411025
27-5-2021 18:29:16,1622154556.7322924,600.0,80.2,8467.14,2766.02,8470.79,50.1,202854881,793730220,0.0007641334583595383,0.00044551462284697646,0,0,17714,331,2412544,634880,43776146,591767,89.43,9.28,0.02,0.17,12.880940920411025
27-5-2021 18:29:21,1622154561.7400787,600.0,81.8,8479.1,2767.92,8476.53,49.8,203194549,794095937,0.0006782797456163245,0.0007302967418996354,0,0,18746,331,2412544,634880,43853697,591767,93.97,9.61,0.02,0.17,12.891614172404411
27-5-2021 18:29:26,1622154566.7452686,600.0,68.2,8492.51,2770.51,8480.18,49.9,204048526,794497211,0.0017061830176425914,0.0008017158356975811,0,0,19784,334,2412544,634880,43934357,594896,97.96,10.01,0.02,0.17,12.871104786221041
27-5-2021 18:29:31,1622154571.7522962,600.0,75.4,8505.23,2772.64,8484.6,49.8,204611239,794780523,0.0011238464055476226,0.0005658287134800654,0,0,20816,334,2412544,634880,44011918,594896,103.5,10.49,0.02,0.17,12.912332838038635
27-5-2021 18:29:36,1622154576.7570415,600.0,90.3,8517.75,2775.81,8488.45,49.9,204997044,795017668,0.0007708783986297642,0.00047384030233681634,0,0,21849,334,2412544,634880,44089503,594896,108.08,12.88,0.02,0.17,13.316660737082225
27-5-2021 18:29:41,1622154581.7814128,600.0,99.0,8532.2,2781.01,8488.86,53.1,205253040,795173824,0.0005095085143088738,0.0003107970888623904,0,0,22883,335,2412544,634880,44168309,596061,114.53,15.95,0.02,0.17,13.338216520519849
27-5-2021 18:29:46,1622154586.7870507,600.0,99.7,8547.61,2785.08,8489.28,51.2,205404170,795331483,0.00030191956249740715,0.0003149628551828142,0,0,23919,337,2412544,634880,44248285,598391,121.8,18.95,0.02,0.17,13.326078312370509
27-5-2021 18:29:51,1622154591.7970743,600.0,100.0,8563.0,2789.28,8489.69,51.6,205552848,795565149,0.0002967610774946199,0.0004663970051645694,0,0,24955,339,2412544,634880,44328230,600721,128.62,21.81,0.02,0.17,13.347215536906432
27-5-2021 18:29:56,1622154596.8029778,600.0,99.7,8578.53,2792.52,8490.84,51.4,205675292,795722730,0.0002445992025806856,0.00031479032816525936,0,0,25991,341,2412544,634880,44408163,603051,135.36,24.77,0.02,0.17,13.339890756126657
27-5-2021 18:30:1,1622154601.819305,600.0,99.8,8594.43,2796.39,8491.31,52.4,205818435,795881261,0.00028535419626263324,0.00031603002653089225,0,0,27025,342,2412544,634880,44486922,604216,142.17,27.37,0.02,0.17,13.322102002804344
27-5-2021 18:30:6,1622154606.822314,600.0,87.1,8608.51,2801.3,8491.93,51.6,206264098,796027588,0.0008907899082225953,0.00029247798201889705,0,0,28061,344,2412544,634880,44566810,606546,146.68,29.24,0.02,0.17,13.401837473578471
27-5-2021 18:30:11,1622154611.825437,600.0,98.8,8622.9,2806.31,8492.37,50.3,206861197,796178836,0.0011934525587984227,0.0003023071762189249,0,0,29097,346,2412544,634880,44646692,608876,153.21,32.4,0.02,0.17,13.298244145407361
27-5-2021 18:30:16,1622154616.8317862,600.0,99.5,8636.93,2811.72,8492.81,50.3,207558243,796842680,0.0013923240028212009,0.0013260042168362451,0,0,30131,347,2412544,634880,44725427,610041,158.72,35.38,0.02,0.17,13.407069459849739
27-5-2021 18:30:21,1622154621.8348143,600.0,99.8,8651.59,2816.19,8493.58,50.1,208227511,796991874,0.0013377258319343854,0.0002982073963936998,0,0,31167,349,2412544,634880,44805307,612369,165.12,38.22,0.02,0.17,13.339472197224955
27-5-2021 18:30:26,1622154626.8403623,600.0,92.9,8666.23,2820.32,8494.5,50.3,208918183,797140163,0.001379812959447558,0.0002962492817770504,0,0,32201,350,2412544,634880,44884030,613534,171.16,40.54,0.02,0.17,13.352866082079402
27-5-2021 18:30:31,1622154631.8458102,600.0,84.0,8679.1,2826.01,8495.77,50.3,209438018,797297652,0.0010385384366570656,0.00031463518203023,0,0,33237,352,2412544,634880,44963931,615864,176.22,43.3,0.02,0.17,13.12119372998765
27-5-2021 18:30:36,1622154636.8485608,600.0,91.9,8693.58,2830.73,8496.41,50.3,210135144,797450361,0.0013934854060130514,0.0003052500736837344,0,0,34273,354,2412544,634880,45043819,618194,182.08,45.92,0.02,0.17,13.288408011217378
27-5-2021 18:30:41,1622154641.8670392,600.0,99.0,8708.1,2835.79,8496.8,50.3,210837962,797601990,0.0014004603485045198,0.00030214138252490945,0,0,35313,358,2412544,634880,45126011,622852,188.53,49.29,0.02,0.17,13.14400519013038
