time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
27-5-2021 19:27:21,1622158041.9459813,600.0,59.3,16704.48,5527.1,11300.89,39.8,540169877,982809041,0.0002697560606621327,0.00036649839823488207,0,0,104.24,14.62,0.0,0.09,13.229809764979178,33999,322,6070272,602112,44921727,572102
27-5-2021 19:27:26,1622158046.947058,600.0,95.7,16715.58,5532.3,11304.44,40.3,540374237,983056747,0.00040863200532264535,0.0004953053411159287,0,0,110.52,18.9,0.0,0.09,13.244459326538728,35023,325,6070272,602112,45001431,575597
27-5-2021 19:27:31,1622158051.950808,600.0,85.3,16725.15,5536.4,11310.63,39.9,540498389,983206443,0.00024811790731029114,0.0002991676191500849,0,0,116.39,23.36,0.0,0.09,13.233158236192788,36048,326,6070272,602112,45079127,576762
27-5-2021 19:27:36,1622158056.952797,600.0,90.4,16735.29,5541.68,11315.14,40.0,540626502,983373510,0.0002561241195733318,0.0003340011418416384,0,0,122.03,27.59,0.0,0.09,13.229809764979178,37077,329,6070272,602112,45159147,580257
27-5-2021 19:27:41,1622158061.9556258,600.0,70.4,16746.43,5546.61,11318.91,39.8,540756092,983539695,0.0002590334473489382,0.0003321820622554464,0,0,129.64,32.8,0.0,0.09,13.232530397840236,38104,331,6070272,602112,45238010,582587
27-5-2021 19:27:46,1622158066.9590242,600.0,86.8,16757.0,5551.8,11322.8,39.7,540879547,983697743,0.0002467422932887774,0.00031588130063346724,0,0,135.83,37.44,0.0,0.09,13.223531381453654,39131,333,6070272,602112,45316883,584917
27-5-2021 19:27:51,1622158071.9610782,600.0,83.8,16767.47,5557.2,11326.76,39.9,541006979,983861219,0.0002547593460804709,0.000326817744835293,0,0,142.47,42.28,0.0,0.09,13.229181926626623,40160,336,6070272,602112,45396927,588412
27-5-2021 19:27:56,1622158076.9670315,600.0,77.3,16778.62,5561.83,11330.78,39.9,541133896,984025302,0.000253532128831057,0.000327775729768166,0,0,149.24,46.32,0.0,0.09,13.249482033359145,41185,337,6070272,602112,45474623,589577
27-5-2021 19:28:1,1622158081.9706995,600.0,68.7,16788.84,5566.86,11335.38,40.1,541261904,984186981,0.0002558283207704995,0.000323120953954859,0,0,156.55,51.56,0.0,0.09,13.124960760102965,42212,339,6070272,602112,45553502,591907
27-5-2021 19:28:6,1622158086.97724,600.0,44.8,16798.96,5571.43,11340.47,39.8,541385560,984341130,0.00024698891198242124,0.00030789523996553543,0,0,161.41,55.16,0.0,0.09,13.201557039114329,43239,341,6070272,602112,45632395,594237
27-5-2021 19:28:11,1622158091.9809594,600.0,71.9,16809.23,5575.63,11345.78,39.9,541512609,984499742,0.0002539091256427752,0.000316988203263716,0,0,167.82,59.14,0.0,0.09,13.223112822551952,44266,343,6070272,602112,45711269,596568
27-5-2021 19:28:16,1622158096.985021,600.0,50.4,16819.63,5580.28,11350.53,40.0,541638658,984658004,0.00025189337698886953,0.00031626708366597493,0,0,174.43,63.57,0.0,0.09,13.186698198103928,45293,345,6070272,602112,45790138,598900
27-5-2021 19:28:21,1622158101.9874845,600.0,58.3,16831.04,5584.74,11354.62,40.0,541759113,984810793,0.00024079136976087716,0.000305427525585444,0,0,181.2,67.91,0.0,0.09,13.024297344243768,46320,347,6070272,602112,45869021,601232
27-5-2021 19:28:26,1622158106.9911437,600.0,68.6,16841.81,5589.87,11358.57,40.1,541885469,984971606,0.0002525271880606482,0.00032139079025607825,0,0,188.41,73.13,0.0,0.09,13.199882803507524,47347,349,6070272,602112,45947884,603564
27-5-2021 19:28:31,1622158111.9945292,600.0,29.4,16850.27,5594.21,11365.53,40.1,542011697,985126666,0.00025228517549648045,0.00030991015711636294,0,0,192.84,76.24,0.0,0.09,13.179582696775002,48371,352,6070272,602112,46027591,607062
27-5-2021 19:28:36,1622158116.9980571,600.0,72.3,16861.4,5599.61,11368.97,39.7,542136617,985285720,0.000249663843198404,0.00031788370890232907,0,0,200.07,81.96,0.0,0.09,13.204905510327942,49393,354,6070272,602112,46106182,609394
27-5-2021 19:28:42,1622158122.0039835,600.0,96.7,16871.88,5605.48,11372.45,39.9,542261243,985450942,0.000248956917807296,0.0003300527969601613,0,0,206.03,86.67,0.0,0.09,13.220182910240045,50415,356,6070272,602112,46184773,611726
27-5-2021 19:28:47,1622158127.007059,600.0,83.0,16882.21,5610.59,11376.88,40.0,542389519,985616108,0.0002563942867632272,0.0003301289311136548,0,0,212.68,91.34,0.0,0.09,13.287570893413974,51439,359,6070272,602112,46264510,615224
27-5-2021 19:28:52,1622158132.0244691,600.0,53.6,16892.95,5615.29,11381.43,40.0,542514779,985774073,0.000249650714220784,0.0003148337463826133,0,0,219.79,95.71,0.0,0.09,12.98390641022958,52455,361,6070272,602112,46342717,617556
27-5-2021 19:28:57,1622158137.0270307,600.0,87.6,16903.93,5620.2,11385.4,39.8,542641892,985937950,0.00025409582319238765,0.0003275861730688357,0,0,226.69,100.57,0.0,0.09,13.227716970470668,53471,363,6070272,602112,46420940,619888
27-5-2021 19:29:2,1622158142.0305128,600.0,92.9,16914.13,5625.53,11389.67,39.9,542767002,986095993,0.0002500458628927446,0.0003158660243718171,0,0,233.0,105.64,0.0,0.09,13.21620660067388,54487,365,6070272,602112,46499181,622220
