time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
11-6-2021 19:39:1,1623454741.8262534,600.0,85.8,6859.03,2331.19,3655.55,48.6,93017212,124515373,0.0012609970359598892,0.0003042856100279125,63.783,0,0,33835,294,1146880,471040,42374049,504164,13.172257915995228,216.93,53.39,0.02,0.17
11-6-2021 19:39:6,1623454746.829561,600.0,96.0,6873.13,2336.41,3656.13,48.5,93677362,124676054,0.0013194271775610778,0.00032114955437050904,64.757,0,0,34883,296,1146880,471040,42453993,506493,13.052131511206916,222.77,56.26,0.02,0.17
11-6-2021 19:39:11,1623454751.8322573,600.0,95.8,6887.12,2341.77,3656.8,48.5,94402934,124832489,0.001450361884895502,0.00031270137417599886,65.244,0,0,35931,298,1146880,471040,42533922,508823,13.023669505891217,228.63,58.91,0.02,0.17
11-6-2021 19:39:16,1623454756.8369312,600.0,99.8,6899.89,2347.42,3658.43,48.6,94983605,124977327,0.0011602574011682272,0.0002894054662113377,63.783,0,0,36979,300,1146880,471040,42613832,511153,13.185651800849673,233.53,61.23,0.02,0.17
11-6-2021 19:39:21,1623454761.8429224,600.0,99.2,6914.73,2352.05,3658.86,48.2,95744766,125643669,0.0015205000697701809,0.00133108903042957,64.757,0,0,38032,302,1146880,471040,42694057,513481,13.162840340706946,240.11,64.07,0.02,0.17
11-6-2021 19:39:26,1623454766.8600261,600.0,91.6,6929.29,2356.88,3659.55,48.5,96445324,125799734,0.0013963394934529624,0.00031106592608425937,64.27,0,0,39079,304,1146880,471040,42773944,515811,13.173722872151183,245.97,66.48,0.02,0.17
11-6-2021 19:39:31,1623454771.8626077,600.0,96.2,6944.16,2361.35,3659.93,48.6,97182837,126943697,0.0014742648086629772,0.0022867453093200056,63.783,0,0,40126,306,1146880,471040,42853867,518141,13.15509700102547,252.02,68.93,0.02,0.17
11-6-2021 19:39:36,1623454776.8690689,600.0,95.0,6958.86,2365.98,3660.46,48.6,97962088,127101314,0.0015564906581022944,0.0003148271712941136,65.244,0,0,41171,307,1146880,471040,42932621,519306,13.21390452671452,258.19,71.43,0.02,0.17
11-6-2021 19:39:41,1623454781.8751123,600.0,94.4,6973.65,2370.44,3661.14,48.7,98706130,127258844,0.00148628754382225,0.000314679650850784,64.757,0,0,42218,309,1146880,471040,43012530,521636,13.226042734863864,264.78,73.94,0.02,0.17
11-6-2021 19:39:46,1623454786.8844936,600.0,99.8,6988.49,2375.16,3661.48,48.8,99427701,127414723,0.0014404393628973348,0.0003111741567345052,63.783,0,0,43265,311,1146880,471040,43092427,523966,13.05338718791202,270.73,76.25,0.02,0.17
11-6-2021 19:39:51,1623454791.891103,600.0,99.0,7003.52,2379.99,3661.68,48.8,100197256,128082649,0.0015370781548781618,0.0013340884844814875,64.757,0,0,44312,313,1146880,471040,43172325,526294,13.136680409350607,277.15,78.38,0.02,0.17
11-6-2021 19:39:56,1623454796.8974566,600.0,98.8,7017.58,2385.12,3662.32,48.7,100940541,128238054,0.0014846833781745447,0.00031041554771751764,65.244,0,0,45359,315,1146880,471040,43252223,528624,13.116589582068935,282.78,81.51,0.02,0.17
11-6-2021 19:40:1,1623454801.9001536,600.0,99.0,7031.7,2389.83,3663.32,48.9,101601913,128393519,0.0013220308989215564,0.0003107623753361796,65.731,0,0,46406,317,1146880,471040,43332114,530954,13.183559006341167,288.05,84.37,0.02,0.17
11-6-2021 19:40:6,1623454806.903156,600.0,99.0,7046.19,2394.82,3663.94,48.5,102268302,128548281,0.0013319781723706882,0.0003093382482490444,64.757,0,0,47453,319,1146880,471040,43412040,533284,13.1787455789716,294.97,87.15,0.02,0.17
11-6-2021 19:40:11,1623454811.9195726,600.0,92.7,7060.48,2399.69,3664.58,48.7,103015181,128701698,0.001488869579714735,0.0003058298657628552,64.27,0,0,48498,320,1146880,471040,43490791,534449,13.176234225561393,300.88,89.4,0.02,0.17
11-6-2021 19:40:16,1623454816.932636,600.0,98.2,7074.45,2404.95,3665.37,48.8,103639062,128858611,0.0012445104846841423,0.0003130082077884129,64.757,0,0,49543,321,1146880,471040,43569531,535614,13.048573760542453,306.61,92.01,0.02,0.17
11-6-2021 19:40:21,1623454821.9379256,600.0,99.5,7088.88,2410.08,3665.7,48.9,104368595,129526330,0.0014575240693720298,0.0013340267185679366,64.757,0,0,50594,325,1146880,471040,43651764,540274,13.258271770294874,312.33,94.61,0.02,0.17
11-6-2021 19:40:26,1623454826.9477782,600.0,100.0,7103.78,2414.91,3665.96,49.0,105212125,129760559,0.0016837421363551676,0.0004675367051039495,65.244,0,0,51639,326,1146880,471040,43730520,541439,13.185651800849673,318.75,97.09,0.02,0.17
11-6-2021 19:40:31,1623454831.949819,600.0,97.8,7117.38,2420.76,3666.38,48.5,105968035,129912419,0.001511203168262466,0.0003035960803962616,65.731,0,0,52684,327,1146880,471040,43809259,542604,13.178117740619049,324.28,100.07,0.02,0.17
11-6-2021 19:40:36,1623454836.9527273,600.0,94.7,7131.12,2426.01,3667.12,48.3,106700020,130068860,0.0014631189827465276,0.0003127001192372105,64.757,0,0,53731,329,1146880,471040,43889211,544934,13.018018960718248,329.85,102.5,0.02,0.17
11-6-2021 19:40:41,1623454841.9552832,600.0,99.3,7145.72,2430.82,3667.48,48.5,107508161,131217557,0.0016154562281548586,0.0022962202423992863,64.757,0,0,54778,331,1146880,471040,43969136,547264,13.14672582299144,335.58,104.76,0.02,0.17
11-6-2021 19:40:46,1623454846.9964216,600.0,99.3,7160.98,2435.17,3667.86,48.6,108292030,131373914,0.0015549444116763345,0.0003101620849612329,65.244,0,0,55818,332,1146880,471040,44047601,548429,13.147562940794844,342.01,107.22,0.02,0.17
11-6-2021 19:40:52,1623454852.0001884,600.0,100.0,7176.02,2439.43,3668.39,48.4,109041202,132031925,0.001497216064752244,0.0013150313145495144,65.244,0,0,56864,336,1146880,471040,44129529,553089,13.26266663876274,347.96,109.66,0.02,0.17
11-6-2021 19:40:57,1623454857.00279,600.0,99.7,7190.78,2443.84,3668.96,48.4,109782859,132193932,0.0014825425964578368,0.00032384549518759315,65.244,0,0,57903,337,1146880,471040,44207952,554252,13.197790008999016,354.23,112.72,0.02,0.17
11-6-2021 19:41:2,1623454862.006381,600.0,86.3,7205.14,2448.09,3670.08,48.5,110430201,132345565,0.00129375480960549,0.00030304834700190815,64.27,0,0,58950,339,1146880,471040,44287855,556582,13.112403993051922,359.63,114.72,0.02,0.17
