time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel
11-6-2021 18:57:11,1623452231.4882972,600.0,93.3,520.14,150.2,2225.21,36.6,14759045,27313802,0.00025129715654783155,0.0003479672753791604,59.4,0,0,151.27,37.93,0.01,0.1,33044,278,172564480,479232,42245196,490244,13.186698198103928
11-6-2021 18:57:16,1623452236.4927995,600.0,92.9,533.78,154.91,2226.63,36.7,14877721,27467147,0.0002371384664649618,0.00030641408658928145,59.4,0,0,159.26,41.6,0.01,0.1,34055,280,172564480,479232,42319725,492574,12.911077161333528
11-6-2021 18:57:21,1623452241.498354,600.0,99.5,547.25,160.15,2228.03,36.7,15001962,27635564,0.00024820627074958546,0.0003364602305264199,60.374,0,0,166.53,45.98,0.01,0.1,35068,283,172564480,479232,42395361,496069,13.130192746374233
11-6-2021 18:57:26,1623452246.5037425,600.0,86.8,560.77,164.5,2229.84,36.7,15129341,27804534,0.000254483742956421,0.0003375761942498093,59.4,0,0,174.69,49.5,0.01,0.1,36073,285,172564480,479232,42469538,498399,12.951468095347717
11-6-2021 18:57:31,1623452251.5069113,600.0,99.5,574.34,169.87,2230.84,36.7,15252258,27971790,0.00024567829787363823,0.0003343001325215652,60.374,0,0,181.98,53.66,0.01,0.1,37080,288,172564480,479232,42544881,501894,13.119100935479144
11-6-2021 18:57:36,1623452256.5131087,600.0,81.2,587.78,174.32,2232.81,36.7,15381000,28140517,0.00025716524611818335,0.00033703624677092724,60.374,0,0,190.21,57.3,0.01,0.1,38085,290,172564480,479232,42619032,504224,12.922796810581168
11-6-2021 18:57:41,1623452261.517587,600.0,92.1,601.24,179.57,2233.96,36.5,15498956,28298512,0.00023570089608711224,0.0003157072389474321,61.348,0,0,198.25,61.84,0.01,0.1,39092,293,172564480,479232,42694348,507717,13.139610321662515
11-6-2021 18:57:46,1623452266.5196662,600.0,91.1,615.3,183.98,2235.4,37.0,15627527,28472145,0.00025703511202945664,0.00034712164957113694,60.374,0,0,206.62,64.8,0.01,0.1,40099,296,172564480,479232,42769683,511208,12.950212418642614
11-6-2021 18:57:51,1623452271.5229864,600.0,99.8,628.74,189.21,2236.64,36.6,15752671,28638959,0.00025012190819103866,0.0003334066035365653,61.348,0,0,213.98,69.31,0.01,0.1,41104,298,172564480,479232,42843823,513538,13.144423749032082
11-6-2021 18:57:56,1623452276.526362,600.0,86.9,642.07,194.17,2238.27,36.6,15883966,28813039,0.0002624128435021256,0.0003479251136513197,59.887,0,0,221.91,73.23,0.01,0.1,42111,301,172564480,479232,42919124,517033,13.060293409790091
