time_stamp,time,model_number,QOS,QOS_avg,task
11-6-2021 19:37:19,1623454639.0954566,,0.0,0.0,None
11-6-2021 19:37:24,1623454644.105237,1,0.0,0.0,Linear_Regression_Training
11-6-2021 19:37:29,1623454649.1103241,1,0.0,0.0,Linear_Regression_Training
11-6-2021 19:37:34,1623454654.1153483,1,0.0,0.0,Linear_Regression_Training
11-6-2021 19:37:39,1623454659.1204052,1,18.0826678276062,18.0826678276062,Linear_Regression_Training
11-6-2021 19:37:44,1623454664.1239238,1,2.804983139038086,2.9294769763946533,Linear_Regression_Training
11-6-2021 19:37:49,1623454669.1289654,1,3.1919639110565186,3.1919639110565186,Linear_Regression_Training
11-6-2021 19:37:54,1623454674.1340156,1,2.7233517169952393,3.088523507118225,Linear_Regression_Training
11-6-2021 19:37:59,1623454679.1391904,1,2.051912307739258,2.2611021995544434,Linear_Regression_Training
11-6-2021 19:38:4,1623454684.144255,1,2.651895046234131,2.5824912786483765,Linear_Regression_Training
11-6-2021 19:38:9,1623454689.1493053,1,2.518972873687744,2.6212422847747803,Linear_Regression_Training
11-6-2021 19:38:14,1623454694.1529636,1,2.6616594791412354,2.812867760658264,Linear_Regression_Training
11-6-2021 19:38:19,1623454699.1580167,1,2.1673710346221924,2.6644372940063477,Linear_Regression_Training
11-6-2021 19:38:24,1623454704.1630793,1,2.349240779876709,2.1396130323410034,Linear_Regression_Training
11-6-2021 19:38:29,1623454709.1650145,1,2.0596625804901123,2.1089529991149902,Linear_Regression_Training
11-6-2021 19:38:34,1623454714.1700766,1,2.4893484115600586,2.6335002183914185,Linear_Regression_Training
11-6-2021 19:38:39,1623454719.1751235,1,2.749241590499878,2.6090675592422485,Linear_Regression_Training
11-6-2021 19:38:44,1623454724.1801665,1,3.237534761428833,3.0785199403762817,Linear_Regression_Training
11-6-2021 19:38:49,1623454729.18524,1,2.366135358810425,2.5114203691482544,Linear_Regression_Training
11-6-2021 19:38:54,1623454734.1902866,1,2.6789655685424805,2.631121516227722,Linear_Regression_Training
11-6-2021 19:38:59,1623454739.192968,1,2.4101617336273193,2.4101617336273193,Linear_Regression_Training
11-6-2021 19:39:4,1623454744.198021,1,2.759578227996826,3.009780168533325,Linear_Regression_Training
11-6-2021 19:39:9,1623454749.202986,1,2.7165939807891846,2.755588173866272,Linear_Regression_Training
11-6-2021 19:39:14,1623454754.2057588,1,2.17948317527771,2.5191348791122437,Linear_Regression_Training
11-6-2021 19:39:19,1623454759.2108078,1,2.617845058441162,3.1143583059310913,Linear_Regression_Training
11-6-2021 19:39:24,1623454764.2132838,1,2.742058515548706,2.742058515548706,Linear_Regression_Training
11-6-2021 19:39:29,1623454769.2166219,1,2.851370096206665,2.9101006984710693,Linear_Regression_Training
11-6-2021 19:39:34,1623454774.2216456,1,2.447887897491455,2.5268253087997437,Linear_Regression_Training
11-6-2021 19:39:39,1623454779.2229614,1,2.3969080448150635,2.4987199306488037,Linear_Regression_Training
11-6-2021 19:39:44,1623454784.2280245,1,2.2866175174713135,2.460477828979492,Linear_Regression_Training
11-6-2021 19:39:49,1623454789.23314,1,2.5056235790252686,2.726555585861206,Linear_Regression_Training
11-6-2021 19:39:54,1623454794.2368526,1,2.615793466567993,2.6563018560409546,Linear_Regression_Training
11-6-2021 19:39:59,1623454799.2418633,1,2.416736364364624,2.661524176597595,Linear_Regression_Training
11-6-2021 19:40:4,1623454804.2468917,1,2.693720817565918,2.7022560834884644,Linear_Regression_Training
11-6-2021 19:40:9,1623454809.251983,1,2.7211475372314453,2.7211475372314453,Linear_Regression_Training
11-6-2021 19:40:14,1623454814.2570329,1,2.5547077655792236,2.801094174385071,Linear_Regression_Training
11-6-2021 19:40:19,1623454819.2620676,1,2.4369516372680664,2.8020190000534058,Linear_Regression_Training
11-6-2021 19:40:24,1623454824.2671032,1,2.593918800354004,2.7112680673599243,Linear_Regression_Training
11-6-2021 19:40:29,1623454829.272165,1,2.9789743423461914,2.9789743423461914,Linear_Regression_Training
11-6-2021 19:40:34,1623454834.2772317,1,2.6200873851776123,2.861329674720764,Linear_Regression_Training
11-6-2021 19:40:39,1623454839.2822814,1,2.3505139350891113,2.7357468605041504,Linear_Regression_Training
11-6-2021 19:40:44,1623454844.2829702,1,2.891956329345703,2.9723284244537354,Linear_Regression_Training
11-6-2021 19:40:49,1623454849.2880325,1,2.433917999267578,2.533789277076721,Linear_Regression_Training
11-6-2021 19:40:54,1623454854.2930396,1,2.5901939868927,2.658396363258362,Linear_Regression_Training
11-6-2021 19:40:59,1623454859.298156,1,2.9440596103668213,2.9440596103668213,Linear_Regression_Training
11-6-2021 19:41:4,1623454864.3035383,1,2.5296928882598877,2.7662211656570435,Linear_Regression_Training
11-6-2021 19:41:9,1623454869.308685,1,2.5464890003204346,2.6692882776260376,Linear_Regression_Training
11-6-2021 19:41:14,1623454874.3130412,1,2.394914388656616,2.529481530189514,Linear_Regression_Training
11-6-2021 19:41:19,1623454879.318065,1,2.5489041805267334,2.774950623512268,Linear_Regression_Training
11-6-2021 19:41:24,1623454884.321963,1,2.499814033508301,2.6268603801727295,Linear_Regression_Training
11-6-2021 19:41:29,1623454889.3269804,1,2.8044936656951904,2.739857792854309,Linear_Regression_Training
11-6-2021 19:41:34,1623454894.332003,1,2.469501256942749,2.426903486251831,Linear_Regression_Training
11-6-2021 19:41:39,1623454899.332991,1,1.6856064796447754,1.9584325551986694,Linear_Regression_Training
11-6-2021 19:41:44,1623454904.3380404,1,2.3763251304626465,2.3036649227142334,Linear_Regression_Training
11-6-2021 19:41:49,1623454909.342913,1,2.15021014213562,2.4986085891723633,Linear_Regression_Training
11-6-2021 19:41:54,1623454914.3437574,1,2.205763578414917,2.6693902015686035,Linear_Regression_Training
11-6-2021 19:41:59,1623454919.3488355,1,2.4998135566711426,2.4868240356445312,Linear_Regression_Training
11-6-2021 19:42:4,1623454924.352929,2,2.544495105743408,2.644435405731201,Linear_Regression_Training
11-6-2021 19:42:9,1623454929.3579526,2,2.2015998363494873,2.540253162384033,Linear_Regression_Training
11-6-2021 19:42:14,1623454934.362971,2,2.6792306900024414,2.7957897186279297,Linear_Regression_Training
11-6-2021 19:42:19,1623454939.3680136,2,3.47564435005188,3.47564435005188,Linear_Regression_Training
11-6-2021 19:42:24,1623454944.3729405,2,2.3471877574920654,2.5672569274902344,Linear_Regression_Training
11-6-2021 19:42:29,1623454949.3780978,2,2.4415717124938965,2.474788784980774,Linear_Regression_Training
