time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
12-6-2021 11:32:23,1623511943.7126398,600.0,69.6,388.94,121.9,3552.26,43.7,12970972,10714872,0.0,0.0,57.939,0,0,12.628968461586757,71.59,6.36,0.02,0.06,12939,241,170168320,438272,40782604,434734
12-6-2021 11:32:30,1623511950.8778522,600.0,76.3,408.08,125.32,3557.06,45.5,13307864,11625243,0.00047017726974597177,0.0012705429373090192,57.452,0,0,12.635665404013979,76.94,6.79,0.02,0.06,13986,241,170299392,438272,40860175,434734
12-6-2021 11:32:35,1623511955.880886,600.0,60.5,418.29,127.2,3564.33,44.1,13587386,12010523,0.0005587049916201417,0.0007700927267671532,56.478,0,0,12.648222171065024,82.04,7.32,0.02,0.06,15044,244,170561536,438272,40941157,437860
12-6-2021 11:32:40,1623511960.8873744,600.0,74.0,429.4,128.96,3571.15,43.9,13812167,12214512,0.00044897937533948477,0.0004074492674920307,57.452,0,0,12.620806563003578,85.12,7.68,0.02,0.06,16102,247,170561536,438272,41022135,440986
12-6-2021 11:32:45,1623511965.894988,600.0,71.2,441.97,131.13,3575.98,44.0,14507340,12663184,0.0013882320948697296,0.000895979663291571,55.991,0,0,12.655128392943096,89.63,8.03,0.02,0.06,17154,247,170561536,438272,41100033,440986
12-6-2021 11:32:50,1623511970.8978546,600.0,79.3,453.37,132.99,3582.35,44.0,14779647,12914156,0.0005443019509755812,0.0005016563997262045,57.452,0,0,12.636921080719086,93.46,8.34,0.02,0.06,18212,250,170561536,438272,41181015,444112
12-6-2021 11:32:55,1623511975.9056084,600.0,57.0,463.55,134.54,3588.88,44.2,14898515,13227199,0.00023736789703239025,0.0006251165880700486,56.965,0,0,12.677939853085826,97.89,8.58,0.02,0.06,19264,250,170561536,438272,41258897,444112
12-6-2021 11:33:0,1623511980.908128,600.0,84.1,475.65,137.39,3593.39,43.9,15309866,13467736,0.0008222876315760377,0.0004808316985649855,57.939,0,0,12.79220643325032,102.66,10.24,0.02,0.06,20318,250,172339200,438272,41336757,444112
12-6-2021 11:33:5,1623511985.9156928,600.0,71.0,487.86,142.04,3596.34,43.8,15805983,13628410,0.000990735060831779,0.0003208625488827943,57.452,0,0,13.024297344243768,108.51,13.65,0.02,0.06,21373,251,172400640,438272,41415806,445274
12-6-2021 11:33:10,1623511990.9189272,600.0,73.1,500.75,146.85,3598.47,43.9,16137961,13793107,0.0006635267795957568,0.0003291810602482163,57.452,0,0,13.009438503233367,115.28,17.25,0.02,0.06,22430,253,172400640,438272,41496032,447600
12-6-2021 11:33:15,1623511995.9241033,600.0,67.0,513.99,151.23,3600.89,44.5,16657655,13956577,0.0010383131242672043,0.0003266018973164206,58.426,0,0,13.15195780926271,121.79,20.33,0.02,0.06,23487,255,172400640,438272,41576262,449928
12-6-2021 11:33:20,1623512000.930589,600.0,84.9,526.82,156.0,3602.9,44.2,16860204,14111499,0.0004045732118548352,0.0003094426095758299,58.426,0,0,13.043132494820334,129.36,24.25,0.02,0.06,24544,257,172400640,438272,41656468,452256
12-6-2021 11:33:25,1623512005.9395006,600.0,75.1,539.37,160.98,3605.2,43.9,17213226,14272003,0.0007047878411747252,0.0003204368783246032,57.452,0,0,13.133331938136994,135.85,28.01,0.02,0.06,25596,259,172400640,438272,41736358,454584
12-6-2021 11:33:30,1623512010.9473267,600.0,97.5,552.45,166.08,3606.82,45.0,17649451,14429846,0.0008710865596618224,0.00031519265479213946,58.913,0,0,13.09691731368897,141.8,31.76,0.02,0.06,26646,260,172400640,438272,41815122,455746
12-6-2021 11:33:35,1623512015.947966,600.0,97.2,567.02,170.2,3607.77,45.7,18128340,15555355,0.000957655527612445,0.0022507301592384777,58.426,0,0,12.84431701651215,146.9,33.64,0.02,0.06,27703,261,172445696,438272,41918357,456910
12-6-2021 11:33:40,1623512020.9522262,600.0,99.2,581.92,174.53,3608.38,44.9,18551279,15686439,0.0008451579147786491,0.0002619448197041286,58.913,0,0,13.102567858861939,152.04,36.45,0.02,0.06,28756,261,172445696,438272,41996276,456910
12-6-2021 11:33:45,1623512025.9528174,600.0,99.0,596.38,179.69,3608.7,46.4,19047437,15836948,0.0009921986669362067,0.0003009824071402689,57.939,0,0,13.178536299520749,156.62,38.35,0.02,0.06,29813,263,172445696,438272,42076501,459238
12-6-2021 11:33:50,1623512030.9586036,600.0,100.0,611.87,183.65,3609.08,45.6,19586778,15979994,0.0010774351531461857,0.0002857613067001197,59.4,0,0,13.10863696293661,162.24,40.39,0.02,0.06,30868,264,172445696,438272,42155546,460400
12-6-2021 11:33:55,1623512035.9614549,600.0,97.0,626.75,188.27,3609.37,45.7,20091630,16125257,0.0010091285448938186,0.00029036042209778465,59.4,0,0,13.05317790846117,166.72,42.5,0.02,0.06,31923,265,172445696,438272,42234624,461564
12-6-2021 11:34:0,1623512040.9727488,600.0,95.2,642.37,192.24,3609.72,45.8,20685085,16277714,0.0011842350763146864,0.0003042268192697141,58.426,0,0,12.858338739719146,172.24,43.86,0.02,0.06,32980,267,172445696,438272,42314852,463892
12-6-2021 11:34:5,1623512045.981292,600.0,98.8,657.9,196.25,3610.0,45.7,21389754,16424725,0.0014069340413216268,0.00029352047606568993,58.913,0,0,13.03664483184396,177.59,46.02,0.02,0.06,34036,271,172445696,438272,42397098,468552
12-6-2021 11:34:10,1623512050.9858687,600.0,99.3,672.75,200.97,3610.28,45.8,22087048,17076852,0.0013933126499238997,0.0013030612603248026,59.4,0,0,13.055270702969676,181.65,47.96,0.02,0.06,35086,272,172445696,438272,42475881,469717
12-6-2021 11:34:15,1623512055.9885762,600.0,97.5,687.43,205.65,3610.57,46.6,22744769,18647090,0.0013147300785573913,0.0031387763642848577,58.913,0,0,12.842433501454492,186.61,49.83,0.02,0.06,36136,273,172445696,438272,42554631,470882
12-6-2021 11:34:20,1623512060.9913375,600.0,99.5,702.23,210.54,3610.73,46.5,23305757,19368460,0.0011213567051964004,0.0014419436537457617,59.4,0,0,13.0619676453969,191.84,52.12,0.02,0.06,37194,274,172445696,438272,42634515,472047
12-6-2021 11:34:25,1623512065.9932532,600.0,91.4,716.74,215.05,3611.45,46.0,23669559,20484262,0.0007273253335487812,0.0022307493137046996,59.4,0,0,13.026180859301425,196.39,53.96,0.02,0.06,38244,275,172445696,438272,42713296,473212
12-6-2021 11:34:30,1623512070.9961195,600.0,98.5,731.03,219.46,3612.61,45.5,24006076,20618616,0.0006726484018608488,0.00026855405041532074,59.4,0,0,12.956490802168135,200.73,56.14,0.02,0.06,39294,276,172445696,438272,42792070,474377
12-6-2021 11:34:36,1623512076.0127263,600.0,98.7,745.51,223.83,3613.53,45.7,24441630,21267780,0.0008682243131566709,0.0012940300583303955,58.913,0,0,13.057572776929034,205.38,58.48,0.02,0.06,40344,277,172445696,438272,42870866,475540
12-6-2021 11:34:41,1623512081.0182295,600.0,84.3,758.51,228.32,3615.9,45.7,24888620,21414848,0.0008929971356256241,0.0002938126193923562,58.426,0,0,12.83322520561706,210.27,60.81,0.02,0.06,41391,279,172445696,438272,42950486,477870
12-6-2021 11:34:46,1623512086.0209372,600.0,98.3,771.96,233.77,3616.84,45.9,25450524,21565544,0.0011231997379653896,0.0003012288713239848,59.4,0,0,13.057363497478184,214.99,63.61,0.02,0.06,42438,281,172445696,438272,43030103,480196
12-6-2021 11:34:51,1623512091.028504,600.0,98.7,786.13,238.33,3618.01,45.8,26119124,21795246,0.0013351794221248638,0.00045870981696219783,59.887,0,0,13.05087583450181,220.88,66.56,0.02,0.06,43483,282,172445696,438272,43108590,481361
12-6-2021 11:34:56,1623512096.0342019,600.0,87.8,799.54,243.33,3619.48,45.7,26625866,21951825,0.0010123303552875035,0.00031280153352309856,59.4,0,0,12.97323315823619,226.74,69.12,0.02,0.06,44530,284,172445696,438272,43188282,483691
12-6-2021 11:35:1,1623512101.0483997,600.0,91.3,813.19,248.6,3620.54,45.8,27196362,22104398,0.0011377612526533361,0.00030428197147933984,60.861,0,0,13.005462193667203,231.77,71.74,0.02,0.06,45577,286,172445696,438272,43267934,486021
12-6-2021 11:35:6,1623512106.0567968,600.0,99.0,827.24,253.32,3621.6,45.8,27761249,22760607,0.0011278798155487239,0.001310217593751339,59.887,0,0,13.050247996149258,237.24,74.55,0.02,0.06,46622,287,172445696,438272,43346408,487186
12-6-2021 11:35:11,1623512111.0597599,600.0,67.0,839.6,258.15,3624.22,45.6,28207443,22913601,0.0008918594722861494,0.0003058067748623853,59.887,0,0,13.051922231756063,240.9,76.64,0.02,0.06,47669,289,172445696,438272,43426061,489516
12-6-2021 11:35:16,1623512116.0634437,600.0,96.7,853.25,262.73,3625.76,45.8,28702099,24031858,0.0009885836500293445,0.0022348674366243705,59.887,0,0,13.07410585354624,246.81,79.61,0.02,0.06,48714,290,172445696,438272,43504529,490681
12-6-2021 11:35:21,1623512121.066506,600.0,88.4,866.35,267.73,3627.63,45.8,29201000,24187600,0.0009971912705593554,0.0003112933484989109,59.4,0,0,13.071594500136033,252.24,82.38,0.02,0.06,49761,292,172445696,438272,43584183,493011
12-6-2021 11:35:26,1623512126.077474,600.0,89.1,879.26,273.18,3629.15,46.0,29688564,24340293,0.0009729936007000634,0.0003047175588675431,59.887,0,0,13.134378335391247,256.23,84.81,0.02,0.06,50808,294,172445696,438272,43663836,495341
12-6-2021 11:35:31,1623512131.0820692,600.0,89.3,892.43,277.78,3631.12,45.7,30200704,24485299,0.0010233395425127579,0.0002897457212902819,60.374,0,0,13.084779105539626,262.0,88.22,0.02,0.06,51855,296,172445696,438272,43743497,497671
12-6-2021 11:35:36,1623512136.1030743,600.0,76.4,905.29,282.66,3633.2,45.8,30727207,25143407,0.0010486007958319479,0.001310709668403355,59.887,0,0,13.028482933260783,266.54,90.06,0.02,0.06,52902,298,172445696,438272,43823132,500001
