time_stamp,time,model_number,QOS
26-5-2021 20:25:29,1622075129.711919,None,0.0
26-5-2021 20:25:34,1622075134.7247787,1,0.0
26-5-2021 20:25:39,1622075139.7258515,1,0.0
26-5-2021 20:25:44,1622075144.7308948,1,0.0
26-5-2021 20:25:49,1622075149.7358434,1,0.0
26-5-2021 20:25:54,1622075154.737421,1,0.0
26-5-2021 20:25:59,1622075159.74044,1,0.0
26-5-2021 20:26:4,1622075164.7411082,1,0.0
26-5-2021 20:26:9,1622075169.7461798,1,0.0
26-5-2021 20:26:14,1622075174.7475786,1,0.0
26-5-2021 20:26:19,1622075179.75264,1,0.0
26-5-2021 20:26:24,1622075184.7577186,1,0.0
26-5-2021 20:26:29,1622075189.7627628,1,0.0
26-5-2021 20:26:34,1622075194.7678285,1,0.0
26-5-2021 20:26:39,1622075199.7728648,1,0.0
26-5-2021 20:26:44,1622075204.7779095,1,0.0
26-5-2021 20:26:49,1622075209.7829666,1,0.0
26-5-2021 20:26:54,1622075214.7880087,1,1.6422598361968994
26-5-2021 20:26:59,1622075219.793036,1,1.9595181941986084
26-5-2021 20:27:4,1622075224.7943082,1,1.9570519924163818
26-5-2021 20:27:9,1622075229.799319,1,1.700998067855835
26-5-2021 20:27:14,1622075234.8045568,1,1.9740910530090332
26-5-2021 20:27:19,1622075239.8101559,1,2.0703787803649902
26-5-2021 20:27:24,1622075244.815195,1,3.2725253105163574
26-5-2021 20:27:29,1622075249.820256,1,2.590193510055542
26-5-2021 20:27:34,1622075254.8231137,1,1.8738722801208496
26-5-2021 20:27:39,1622075259.8281436,1,2.009166955947876
26-5-2021 20:27:44,1622075264.83328,1,2.315325975418091
26-5-2021 20:27:49,1622075269.8382723,1,3.299670457839966
26-5-2021 20:27:54,1622075274.843316,1,1.8121037483215332
26-5-2021 20:27:59,1622075279.848351,1,2.4716029167175293
26-5-2021 20:28:4,1622075284.853394,1,2.4933457374572754
26-5-2021 20:28:9,1622075289.858433,1,1.9057791233062744
26-5-2021 20:28:14,1622075294.8634834,1,2.077117919921875
26-5-2021 20:28:19,1622075299.8685238,1,2.4275598526000977
26-5-2021 20:28:24,1622075304.8735917,1,2.4838004112243652
26-5-2021 20:28:29,1622075309.8786438,1,2.629298448562622
26-5-2021 20:28:34,1622075314.883701,1,1.8238756656646729
26-5-2021 20:28:39,1622075319.8858635,1,1.8046672344207764
26-5-2021 20:28:44,1622075324.8910089,1,2.5398154258728027
26-5-2021 20:28:49,1622075329.8960233,1,1.8822059631347656
26-5-2021 20:28:54,1622075334.9010804,1,2.0196664333343506
26-5-2021 20:28:59,1622075339.9061801,1,2.2670135498046875
26-5-2021 20:29:4,1622075344.9110258,1,1.8408772945404053
26-5-2021 20:29:9,1622075349.9159396,1,1.9771533012390137
26-5-2021 20:29:14,1622075354.9221115,1,1.9995648860931396
26-5-2021 20:29:19,1622075359.927118,1,2.6716856956481934
26-5-2021 20:29:24,1622075364.9321904,1,3.4939677715301514
26-5-2021 20:29:29,1622075369.937354,1,2.322871446609497
26-5-2021 20:29:34,1622075374.9423952,1,2.0833678245544434
26-5-2021 20:29:39,1622075379.945929,1,2.0732028484344482
