time_stamp,time,model_number,QOS,QOS_avg,task
23-6-2021 0:50:57,1624423857.6062639,,0.0,0.0,None
23-6-2021 0:51:2,1624423862.633605,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:7,1624423867.6386466,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:12,1624423872.6408432,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:17,1624423877.6459038,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:22,1624423882.6470656,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:27,1624423887.6521196,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:32,1624423892.6571727,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:37,1624423897.662193,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:42,1624423902.6672542,1,0.0,0.0,Linear_Regression_Training
23-6-2021 0:51:47,1624423907.672364,1,2.306550979614258,24.47639501094818,Linear_Regression_Training
23-6-2021 0:51:52,1624423912.6732514,1,2.575429916381836,2.2563716173171997,Linear_Regression_Training
23-6-2021 0:51:57,1624423917.6782568,1,2.164158344268799,2.437048316001892,Linear_Regression_Training
23-6-2021 0:52:2,1624423922.6832879,1,2.462376594543457,2.342952847480774,Linear_Regression_Training
23-6-2021 0:52:7,1624423927.6871567,1,2.559321403503418,3.3644663095474243,Linear_Regression_Training
23-6-2021 0:52:12,1624423932.6922185,1,2.0563032627105713,2.2059450149536133,Linear_Regression_Training
23-6-2021 0:52:17,1624423937.6971025,1,2.5884201526641846,2.2794724702835083,Linear_Regression_Training
23-6-2021 0:52:22,1624423942.7030041,1,2.231067180633545,2.272087574005127,Linear_Regression_Training
23-6-2021 0:52:27,1624423947.7119815,1,2.41654372215271,2.2721803983052573,Linear_Regression_Training
23-6-2021 0:52:32,1624423952.7169933,1,2.2183544635772705,2.205412983894348,Linear_Regression_Training
23-6-2021 0:52:37,1624423957.7220585,1,2.4992165565490723,2.2218024730682373,Linear_Regression_Training
23-6-2021 0:52:42,1624423962.7272942,1,2.1771693229675293,2.6608963012695312,Linear_Regression_Training
23-6-2021 0:52:47,1624423967.7323017,1,2.46651029586792,2.257209539413452,Linear_Regression_Training
23-6-2021 0:52:52,1624423972.737324,1,2.5757977962493896,2.047922372817993,Linear_Regression_Training
23-6-2021 0:52:57,1624423977.7423825,1,2.2255008220672607,2.14787220954895,Linear_Regression_Training
23-6-2021 0:53:2,1624423982.7474675,1,2.643517255783081,2.358138084411621,Linear_Regression_Training
23-6-2021 0:53:7,1624423987.7491102,1,3.4021973609924316,3.4021973609924316,Linear_Regression_Training
23-6-2021 0:53:12,1624423992.7511263,1,2.3205277919769287,2.4632046222686768,Linear_Regression_Training
23-6-2021 0:53:17,1624423997.7558892,1,2.215526819229126,2.125258684158325,Linear_Regression_Training
23-6-2021 0:53:22,1624424002.7609239,1,2.280503273010254,2.107480049133301,Linear_Regression_Training
23-6-2021 0:53:27,1624424007.7659218,1,2.306877374649048,2.263324817021688,Linear_Regression_Training
23-6-2021 0:53:32,1624424012.7685406,1,2.0597739219665527,2.049436926841736,Linear_Regression_Training
23-6-2021 0:53:37,1624424017.7736578,1,2.02587628364563,2.2374457120895386,Linear_Regression_Training
23-6-2021 0:53:42,1624424022.7794058,1,2.187288761138916,2.7065443992614746,Linear_Regression_Training
23-6-2021 0:53:47,1624424027.7837982,1,2.1053664684295654,2.0379823446273804,Linear_Regression_Training
23-6-2021 0:53:52,1624424032.787098,1,2.817608594894409,2.320110479990641,Linear_Regression_Training
23-6-2021 0:53:57,1624424037.7921875,1,1.9121143817901611,1.9402230978012085,Linear_Regression_Training
23-6-2021 0:54:2,1624424042.797365,1,2.3899128437042236,2.1767138242721558,Linear_Regression_Training
23-6-2021 0:54:7,1624424047.8023121,1,2.1332180500030518,2.925502896308899,Linear_Regression_Training
23-6-2021 0:54:12,1624424052.807374,1,2.3595733642578125,2.3149733543395996,Linear_Regression_Training
23-6-2021 0:54:17,1624424057.8124018,1,2.4514505863189697,2.1431448459625244,Linear_Regression_Training
23-6-2021 0:54:22,1624424062.8170822,1,2.819936513900757,2.296642621358236,Linear_Regression_Training
23-6-2021 0:54:27,1624424067.822314,1,2.1894776821136475,2.0968650579452515,Linear_Regression_Training
23-6-2021 0:54:32,1624424072.8274512,1,2.659821033477783,2.277709484100342,Linear_Regression_Training
23-6-2021 0:54:37,1624424077.8325136,1,1.949035882949829,2.114458203315735,Linear_Regression_Training
23-6-2021 0:54:42,1624424082.8375828,1,2.5215518474578857,2.854499936103821,Linear_Regression_Training
23-6-2021 0:54:47,1624424087.8426251,1,2.4793663024902344,2.3316433429718018,Linear_Regression_Training
23-6-2021 0:54:52,1624424092.842696,1,2.6831068992614746,2.255777597427368,Linear_Regression_Training
23-6-2021 0:54:57,1624424097.8469334,1,2.0933263301849365,2.1231601238250732,Linear_Regression_Training
23-6-2021 0:55:2,1624424102.851924,1,3.200699806213379,2.5945030450820923,Linear_Regression_Training
23-6-2021 0:55:7,1624424107.8567545,1,2.3961031436920166,2.7608736753463745,Linear_Regression_Training
23-6-2021 0:55:12,1624424112.8594775,1,2.263366460800171,2.118071675300598,Linear_Regression_Training
23-6-2021 0:55:17,1624424117.8626695,1,2.7967612743377686,2.5376781225204468,Linear_Regression_Training
23-6-2021 0:55:22,1624424122.86774,1,2.1404638290405273,2.0787301063537598,Linear_Regression_Training
23-6-2021 0:55:27,1624424127.868997,1,2.1174113750457764,2.1613630453745523,Linear_Regression_Training
