time_stamp,time,model_number,QOS
27-5-2021 14:9:44,1622138984.4032202,None,0.0
27-5-2021 14:9:49,1622138989.4169776,1,0.0
27-5-2021 14:9:54,1622138994.4190502,1,0.0
27-5-2021 14:9:59,1622138999.424112,1,0.0
27-5-2021 14:10:4,1622139004.4291775,1,0.0
27-5-2021 14:10:9,1622139009.4342139,1,0.0
27-5-2021 14:10:14,1622139014.439244,1,1.7729105949401855
27-5-2021 14:10:19,1622139019.4443097,1,1.9857752323150635
27-5-2021 14:10:24,1622139024.4493778,1,1.8883235454559326
27-5-2021 14:10:29,1622139029.454426,1,2.021108865737915
27-5-2021 14:10:34,1622139034.459487,1,3.2515664100646973
27-5-2021 14:10:39,1622139039.4645016,1,2.0740020275115967
27-5-2021 14:10:44,1622139044.4695725,1,1.8513126373291016
27-5-2021 14:10:49,1622139049.4745781,1,1.8513126373291016
27-5-2021 14:10:54,1622139054.479676,1,2.438180446624756
27-5-2021 14:10:59,1622139059.4847155,1,2.002053737640381
27-5-2021 14:11:4,1622139064.4897366,1,2.0150949954986572
27-5-2021 14:11:9,1622139069.494792,1,1.8878576755523682
27-5-2021 14:11:14,1622139074.5008082,1,2.563326358795166
27-5-2021 14:11:19,1622139079.5058432,1,1.8368465900421143
27-5-2021 14:11:24,1622139084.5108924,1,2.854088068008423
27-5-2021 14:11:29,1622139089.5159504,1,2.6538355350494385
27-5-2021 14:11:34,1622139094.521032,1,4.924511671066284
27-5-2021 14:11:39,1622139099.5260928,1,2.743633985519409
27-5-2021 14:11:44,1622139104.531149,1,2.442101240158081
27-5-2021 14:11:49,1622139109.5362144,1,2.126507520675659
27-5-2021 14:11:54,1622139114.5388875,1,3.2595834732055664
27-5-2021 14:11:59,1622139119.543942,1,2.617433547973633
27-5-2021 14:12:4,1622139124.5490031,1,2.1391541957855225
27-5-2021 14:12:9,1622139129.5540552,1,2.382117509841919
27-5-2021 14:12:14,1622139134.5591183,1,2.29714035987854
27-5-2021 14:12:19,1622139139.5641828,1,2.408332347869873
27-5-2021 14:12:24,1622139144.5693514,1,6.398620843887329
27-5-2021 14:12:29,1622139149.5743413,1,2.054999589920044
27-5-2021 14:12:34,1622139154.5788352,1,2.0936691761016846
27-5-2021 14:12:39,1622139159.5838618,1,2.2563931941986084
27-5-2021 14:12:44,1622139164.5888934,1,2.5556981563568115
27-5-2021 14:12:49,1622139169.593965,1,2.243263006210327
27-5-2021 14:12:54,1622139174.5989835,1,2.1688060760498047
27-5-2021 14:12:59,1622139179.604557,1,1.9931385517120361
27-5-2021 14:13:4,1622139184.6096566,1,1.796065330505371
27-5-2021 14:13:9,1622139189.6147087,1,2.356106758117676
27-5-2021 14:13:14,1622139194.6161458,1,2.892029285430908
27-5-2021 14:13:19,1622139199.6167138,1,1.889707326889038
27-5-2021 14:13:24,1622139204.6217349,1,2.34004282951355
27-5-2021 14:13:29,1622139209.6267586,1,2.6260032653808594
27-5-2021 14:13:34,1622139214.6318228,1,3.7900145053863525
27-5-2021 14:13:39,1622139219.6368787,1,2.6732192039489746
27-5-2021 14:13:44,1622139224.641932,1,2.394840955734253
27-5-2021 14:13:49,1622139229.6469991,1,2.0882630348205566
27-5-2021 14:13:54,1622139234.652039,1,2.457245111465454
27-5-2021 14:13:59,1622139239.6570678,1,2.1217727661132812
27-5-2021 14:14:4,1622139244.66209,1,2.5363707542419434
27-5-2021 14:14:9,1622139249.667159,2,2.369452476501465
27-5-2021 14:14:14,1622139254.6698225,2,2.2612671852111816
27-5-2021 14:14:19,1622139259.6748772,2,2.2114062309265137
27-5-2021 14:14:24,1622139264.6798973,2,2.634524345397949
27-5-2021 14:14:29,1622139269.683605,2,2.6103672981262207
27-5-2021 14:14:34,1622139274.6886578,2,3.5022172927856445
27-5-2021 14:14:39,1622139279.688916,2,2.578443765640259
