time_stamp,time,model_number,QOS,QOS_avg,task
12-6-2021 18:14:7,1623536047.8854952,,0.0,0.0,None
12-6-2021 18:14:12,1623536052.9818199,1,0.0,0.0,Linear_Regression_Training
12-6-2021 18:14:17,1623536057.986938,1,0.0,0.0,Linear_Regression_Training
12-6-2021 18:14:22,1623536062.991958,1,0.0,0.0,Linear_Regression_Training
12-6-2021 18:14:27,1623536067.9977572,1,18.882787942886353,18.882787942886353,Linear_Regression_Training
12-6-2021 18:14:33,1623536073.002816,1,1.4447038173675537,1.291984498500824,Linear_Regression_Training
12-6-2021 18:14:38,1623536078.0078666,1,0.9589388370513916,1.3077884912490845,Linear_Regression_Training
12-6-2021 18:14:43,1623536083.0089939,1,1.3534727096557617,1.3663963675498962,Linear_Regression_Training
12-6-2021 18:14:48,1623536088.0140343,1,0.833808183670044,0.877997875213623,Linear_Regression_Training
12-6-2021 18:14:53,1623536093.0190828,1,1.228306770324707,1.2295042872428894,Linear_Regression_Training
12-6-2021 18:14:58,1623536098.0257194,1,0.5708739757537842,1.0338252544403077,Linear_Regression_Training
12-6-2021 18:15:3,1623536103.031857,1,0.6705625057220459,1.0002463340759278,Linear_Regression_Training
12-6-2021 18:15:8,1623536108.036877,1,1.2705035209655762,0.9795856475830078,Linear_Regression_Training
12-6-2021 18:15:13,1623536113.0469704,1,1.2548317909240723,0.8711633682250977,Linear_Regression_Training
12-6-2021 18:15:18,1623536118.0519962,1,1.2530360221862793,1.1321293830871582,Linear_Regression_Training
12-6-2021 18:15:23,1623536123.0565438,1,0.7309741973876953,1.1048508882522583,Linear_Regression_Training
12-6-2021 18:15:28,1623536128.0615685,1,1.225543737411499,1.2372251152992249,Linear_Regression_Training
12-6-2021 18:15:33,1623536133.0666082,1,2.456097364425659,1.4442418416341145,Linear_Regression_Training
12-6-2021 18:15:38,1623536138.0767016,1,1.2269799709320068,1.3692998886108398,Linear_Regression_Training
12-6-2021 18:15:43,1623536143.0817766,1,1.821199655532837,1.2494560480117798,Linear_Regression_Training
12-6-2021 18:15:48,1623536148.0839708,1,1.2408215999603271,1.156698751449585,Linear_Regression_Training
12-6-2021 18:15:53,1623536153.0889933,1,1.2246665954589844,1.2258216738700867,Linear_Regression_Training
12-6-2021 18:15:58,1623536158.094012,1,1.2283732891082764,0.9962020874023437,Linear_Regression_Training
12-6-2021 18:16:3,1623536163.0987842,1,1.2220525741577148,1.2305073738098145,Linear_Regression_Training
12-6-2021 18:16:8,1623536168.1038058,1,1.2235848903656006,0.9465734958648682,Linear_Regression_Training
12-6-2021 18:16:13,1623536173.108841,1,1.2262115478515625,1.1146594285964966,Linear_Regression_Training
12-6-2021 18:16:18,1623536178.1138625,1,0.5899741649627686,1.100249671936035,Linear_Regression_Training
12-6-2021 18:16:23,1623536183.1188867,2,0.9839859008789062,1.0416085243225097,Linear_Regression_Training
12-6-2021 18:16:28,1623536188.1222222,2,1.23856782913208,1.1686111688613892,Linear_Regression_Training
12-6-2021 18:16:33,1623536193.1272528,2,1.5009663105010986,1.076291847229004,Linear_Regression_Training
12-6-2021 18:16:38,1623536198.1317873,2,1.226581335067749,1.3056056499481201,Linear_Regression_Training
12-6-2021 18:16:43,1623536203.1377523,2,1.3769278526306152,1.3059322834014893,Linear_Regression_Training
12-6-2021 18:16:48,1623536208.1478326,2,1.2274129390716553,1.1356776714324952,Linear_Regression_Training
12-6-2021 18:16:53,1623536213.1579368,2,0.9940526485443115,0.9421811580657959,Linear_Regression_Training
12-6-2021 18:16:58,1623536218.162944,2,0.7784442901611328,0.9735813935597738,Linear_Regression_Training
12-6-2021 18:17:3,1623536223.1679692,2,0.9077165126800537,0.9405993938446044,Linear_Regression_Training
12-6-2021 18:17:8,1623536228.1780715,2,0.5515727996826172,1.0704425573349,Linear_Regression_Training
12-6-2021 18:17:13,1623536233.1831596,2,1.2266426086425781,1.1140822887420654,Linear_Regression_Training
12-6-2021 18:17:18,1623536238.1863325,2,1.2267227172851562,1.1099950313568114,Linear_Regression_Training
12-6-2021 18:17:23,1623536243.1913807,2,0.6284134387969971,1.0784283876419067,Linear_Regression_Training
12-6-2021 18:17:28,1623536248.196422,2,1.2283680438995361,1.227960228919983,Linear_Regression_Training
12-6-2021 18:17:33,1623536253.2014294,2,1.518247365951538,1.3197309970855713,Linear_Regression_Training
12-6-2021 18:17:38,1623536258.2064958,2,0.7034730911254883,1.0171217441558837,Linear_Regression_Training
12-6-2021 18:17:43,1623536263.2115068,2,1.2512035369873047,1.0774643898010254,Linear_Regression_Training
12-6-2021 18:17:48,1623536268.2165666,2,0.6708190441131592,1.1071747541427612,Linear_Regression_Training
12-6-2021 18:17:53,1623536273.2215881,2,1.2218949794769287,1.2256513833999634,Linear_Regression_Training
12-6-2021 18:17:58,1623536278.2269585,2,1.2317619323730469,1.1522982716560364,Linear_Regression_Training
12-6-2021 18:18:3,1623536283.2319798,2,0.7074167728424072,1.005903919537862,Linear_Regression_Training
12-6-2021 18:18:8,1623536288.2344344,3,0.695899248123169,0.8685784339904785,Linear_Regression_Training
12-6-2021 18:18:13,1623536293.2395313,3,0.8065252304077148,1.0016530990600585,Linear_Regression_Training
12-6-2021 18:18:18,1623536298.2464368,3,0.6621522903442383,0.9539479414621989,Linear_Regression_Training
12-6-2021 18:18:23,1623536303.2514527,3,1.1789379119873047,1.14422208070755,Linear_Regression_Training
12-6-2021 18:18:28,1623536308.2544727,3,1.2570762634277344,1.1634995341300964,Linear_Regression_Training
