time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
14-6-2021 20:5:56,1623715556.6720073,1500.0,95.0,6842.89,2771.27,5387.08,11.6,389134558,200663178,0.00041257624201595556,0.0002958685417106469,62.809,0,0,3.1040092853918764,32917,262,1024000,438272,42281969,458148,137.56,27.26,0.03,0.18
14-6-2021 20:6:1,1623715561.67456,1500.0,95.5,6856.11,2775.97,5388.76,11.6,389376396,200815859,0.0004834291854491899,0.0003052061771250497,62.322,0,0,3.1163104455698463,33941,263,1024000,438272,42359057,459312,143.35,29.56,0.03,0.18
14-6-2021 20:6:6,1623715566.6805794,1500.0,90.6,6869.31,2780.69,5390.36,11.6,389674845,200975770,0.0005961802759901083,0.0003194374386037622,63.296,0,0,3.110606278551836,34965,264,1024000,438272,42436127,460476,149.26,31.23,0.03,0.18
14-6-2021 20:6:11,1623715571.6809444,1500.0,86.9,6881.58,2786.22,5392.22,11.6,389956613,201133435,0.0005634948627512516,0.0003153069814019906,63.296,0,0,3.1347125843844705,35996,266,1024000,438272,42514701,462804,153.48,33.23,0.03,0.18
14-6-2021 20:6:16,1623715576.68421,1500.0,99.0,6895.35,2791.48,5393.11,11.6,390258329,201292834,0.0006030381414040179,0.00031858992132223366,63.296,0,0,3.0679986309999157,37021,268,1024000,438272,42592954,465132,159.96,35.61,0.03,0.18
14-6-2021 20:6:21,1623715581.6867192,1500.0,97.1,6908.75,2796.82,5394.22,11.6,390599253,201450624,0.0006815060043225532,0.0003154217139950712,63.783,0,0,3.105993343485097,38046,270,1024000,438272,42671204,467460,164.79,37.84,0.03,0.18
14-6-2021 20:6:26,1623715586.6895103,1500.0,97.0,6921.43,2802.09,5395.7,11.5,390958942,201615477,0.0007189766433237366,0.00032952204983151544,63.783,0,0,3.118790518186372,39071,272,1024000,438272,42749470,469788,170.82,40.19,0.03,0.18
14-6-2021 20:6:31,1623715591.701475,1500.0,86.8,6934.32,2807.42,5397.32,11.5,391266856,201767710,0.0006143578956738186,0.00030373917890096726,63.783,0,0,3.088682436621744,40094,273,1024000,438272,42826538,470952,175.56,42.26,0.03,0.18
14-6-2021 20:6:36,1623715596.7045946,1500.0,77.6,6946.96,2812.54,5399.02,11.6,391489052,201927865,0.0004441148983190296,0.0003201102699431321,64.27,0,0,3.0988507343495018,41119,275,1024000,438272,42904794,473280,180.89,44.17,0.03,0.18
14-6-2021 20:6:41,1623715601.7146506,1500.0,95.3,6959.52,2817.79,5400.86,11.6,391709975,202072514,0.00044095914131439404,0.00028871733061739064,63.296,0,0,3.13843269330926,42148,279,1024000,438272,42985363,477934,186.81,46.67,0.03,0.18
14-6-2021 20:6:46,1623715606.7172363,1500.0,88.8,6972.02,2822.5,5403.07,11.6,391923054,202220411,0.0004259377348625858,0.0002956411151402618,62.809,0,0,3.1113999017891243,43171,280,1024000,438272,43062464,479099,192.34,48.99,0.03,0.18
14-6-2021 20:6:51,1623715611.7182918,1500.0,95.0,6985.17,2827.59,5404.48,11.5,392186262,202381379,0.0005263048992410212,0.0003218680550022366,63.296,0,0,3.1098126553145478,44196,282,1024000,438272,43140715,481429,197.81,50.98,0.03,0.18
14-6-2021 20:6:56,1623715616.7207115,1500.0,87.9,6997.66,2832.87,5406.27,11.6,392445272,202544411,0.0005177694296101993,0.00032590628025253856,63.296,0,0,3.0542590287043607,45221,284,1024000,438272,43219007,483759,203.08,52.66,0.03,0.18
14-6-2021 20:7:1,1623715621.7328646,1500.0,86.5,7010.87,2837.95,5407.84,11.5,392702222,202706242,0.0005126539281209927,0.0003228772050661544,63.296,0,0,3.056887905677878,46246,286,1024000,438272,43297265,486089,208.61,54.79,0.03,0.18
14-6-2021 20:7:6,1623715626.7495499,1500.0,92.5,7023.9,2843.23,5409.18,11.6,392994073,202856177,0.0005817606359697784,0.00029887264718684784,63.296,0,0,3.1150208078092527,47271,288,1024000,438272,43375513,488419,213.32,57.01,0.03,0.18
14-6-2021 20:7:11,1623715631.752857,1500.0,95.0,7036.31,2848.63,5410.84,11.6,393284390,203019076,0.0005802502104287693,0.0003255826528540736,64.757,0,0,3.0995947561344597,48296,290,1024000,438272,43453768,490747,219.2,59.59,0.03,0.18
14-6-2021 20:7:16,1623715636.7545536,1500.0,97.3,7049.76,2853.8,5412.26,11.5,393587242,203173760,0.0006054985438557588,0.000309263061686184,64.27,0,0,3.117500880425779,49319,291,1024000,438272,43530841,491912,224.11,62.04,0.03,0.18
14-6-2021 20:7:21,1623715641.7569683,1500.0,87.8,7062.22,2859.07,5413.9,11.5,393879140,203328661,0.0005835141972603868,0.00030965245623413375,64.27,0,0,3.0996939590391204,50344,293,1024000,438272,43609098,494242,228.75,63.59,0.03,0.18
14-6-2021 20:7:26,1623715646.768722,1500.0,91.7,7075.11,2864.08,5415.72,11.5,394174467,203483381,0.0005892687708352372,0.00030871428695523233,64.27,0,0,3.12042736611328,51369,295,1024000,438272,43687346,496572,234.25,65.87,0.03,0.18
14-6-2021 20:7:31,1623715651.770785,1500.0,94.7,7088.06,2869.48,5416.97,11.6,394466905,203644096,0.0005846347754863603,0.0003212974303691395,64.27,0,0,3.0814406245814876,52389,297,1024000,438272,43765288,498902,240.09,68.4,0.03,0.18
14-6-2021 20:7:36,1623715656.78065,1500.0,95.5,7100.88,2874.7,5418.54,11.6,394687701,203796890,0.000440722471564129,0.00030498627384630846,63.296,0,0,3.109465445148234,53407,298,1024000,438272,43842072,500067,245.07,70.88,0.03,0.18
14-6-2021 20:7:41,1623715661.7837975,1500.0,98.0,7113.49,2879.64,5420.62,11.6,394976599,204026673,0.0005774324944557283,0.00045927687582994904,64.27,0,0,3.0910633063336093,54427,300,1024000,438272,43920033,502397,250.42,72.61,0.03,0.18
14-6-2021 20:7:46,1623715666.7980688,1500.0,88.9,7125.95,2885.22,5422.32,11.6,395199583,204175055,0.00044469871785671867,0.0002959193715827845,64.27,0,0,3.131141279816673,55447,302,1024000,438272,43997984,504725,254.77,74.94,0.03,0.18
14-6-2021 20:7:51,1623715671.800946,1500.0,95.7,7139.39,2889.65,5424.12,11.5,395495268,204329780,0.0005910298935720621,0.0003092720303124518,63.783,0,0,3.112193525026413,56465,303,1024000,438272,44074774,505890,260.81,76.98,0.03,0.18
14-6-2021 20:7:56,1623715676.8412213,1500.0,82.4,7151.86,2895.12,5425.95,11.6,395785023,204485216,0.0005748793086163221,0.0003083879146661374,63.296,0,0,3.065964971454364,57483,304,1024000,438272,44151558,507055,265.66,78.91,0.03,0.18
14-6-2021 20:8:1,1623715681.8494022,1500.0,90.1,7164.91,2900.25,5427.31,11.7,396103220,204652855,0.0006353544512555156,0.0003347303238371932,64.27,0,0,3.0641297177181346,58505,307,1024000,438272,44230669,510550,271.55,81.36,0.03,0.18
14-6-2021 20:8:6,1623715686.8537402,1500.0,92.7,7177.79,2905.87,5428.42,11.6,396346029,204808603,0.0004851970405200833,0.00031122597871957765,62.809,0,0,3.062889681409872,59530,309,1024000,438272,44308930,512878,276.72,83.76,0.03,0.18
14-6-2021 20:8:11,1623715691.8565512,1500.0,96.3,7190.73,2911.39,5429.6,11.6,396584022,204952636,0.0004757185553051449,0.0002879041428792693,63.783,0,0,3.11288794535904,60555,311,1024000,438272,44387196,515208,282.18,86.23,0.03,0.18
14-6-2021 20:8:16,1623715696.8590364,1500.0,95.0,7203.94,2916.52,5430.9,11.6,396865879,205109912,0.0005634339423115417,0.00031439572801452527,64.27,0,0,3.136597439573031,61575,313,1024000,438272,44465138,517538,288.17,88.38,0.03,0.18
