time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
12-6-2021 15:5:48,1623524748.8145778,1500.0,76.8,3837.03,1257.62,7273.47,13.0,91227045,121298832,0.0,0.0,69.627,0,0,12936,251,0,438272,40791337,445346,3.0269782299225723,46.89,3.35,0.03,0.05
12-6-2021 15:5:55,1623524755.1530375,1500.0,93.9,3855.07,1263.42,7274.46,13.1,91618708,121605535,0.0006179151034707849,0.0004838762302790924,71.575,0,0,13976,255,0,438272,40870581,450000,3.1261315331312898,54.85,6.91,0.03,0.05
12-6-2021 15:6:0,1623524760.156131,1500.0,88.0,3869.83,1267.49,7275.47,13.0,91983875,121785732,0.0007298824245081905,0.00036017116346521565,72.062,0,0,15010,257,0,438272,40947525,452328,3.0750420372308502,60.72,9.29,0.03,0.05
12-6-2021 15:6:5,1623524765.159689,1500.0,98.8,3884.17,1271.94,7276.56,12.8,92403469,121982562,0.0008385912717919849,0.0003933800769954203,72.062,0,0,16046,260,0,438272,41025602,455820,3.1246930910137047,66.22,11.62,0.03,0.05
12-6-2021 15:6:10,1623524770.1661155,1500.0,94.2,3899.35,1275.87,7277.37,12.8,92982404,122469384,0.0011563836832150906,0.0009723941676183628,73.523,0,0,17080,262,0,438272,41102515,458148,3.080994211510513,72.05,13.71,0.03,0.05
12-6-2021 15:6:15,1623524775.1694562,1500.0,96.5,3913.78,1280.58,7278.28,12.9,93521976,122829847,0.001078423457593546,0.0007204446390741964,73.036,0,0,18132,265,0,438272,41182777,461640,3.12042736611328,77.36,16.07,0.03,0.05
12-6-2021 15:6:20,1623524780.174015,1500.0,96.0,3928.22,1285.02,7278.97,13.0,97358902,123459660,0.007666861659681569,0.001258478569164229,73.523,0,0,19184,268,0,438272,41263055,465132,3.1284131999384943,83.88,18.35,0.03,0.05
12-6-2021 15:6:25,1623524785.177336,1500.0,97.7,3942.93,1289.47,7279.74,13.0,104591178,124651014,0.014454951216866506,0.0023811264879850798,74.01,0,0,20234,270,0,438272,41342180,467460,3.1299508449607405,90.23,20.6,0.03,0.05
12-6-2021 15:6:30,1623524790.1809447,1500.0,92.3,3956.55,1294.15,7281.24,13.1,110874949,125491823,0.012558478034987565,0.001680405183148759,73.523,0,0,21292,273,0,438272,41423196,470952,3.134166968408835,95.56,23.22,0.03,0.05
12-6-2021 15:6:35,1623524795.1830308,1500.0,96.5,3969.86,1298.39,7283.55,13.1,111958406,125760187,0.0021660102700908996,0.0005365041530237695,74.497,0,0,22350,275,0,438272,41503446,473280,3.1345141785751487,101.71,25.94,0.03,0.05
12-6-2021 15:6:40,1623524800.1911998,1500.0,94.1,3984.07,1303.24,7284.36,13.9,112885044,126560919,0.0018502530802836533,0.001598851816439311,74.984,0,0,23402,278,0,438272,41583748,476772,3.1233042503484505,108.05,28.49,0.03,0.05
12-6-2021 15:6:45,1623524805.1927845,1500.0,84.3,3997.13,1308.7,7285.66,13.4,113627422,127296200,0.0014842855502637576,0.001470096047678522,74.984,0,0,24456,282,0,438272,41665210,481428,3.1339189611471823,114.13,31.48,0.03,0.05
12-6-2021 15:6:50,1623524810.1964855,1500.0,92.5,4009.52,1313.38,7288.46,13.4,114751307,127534671,0.0022461074440262977,0.0004765892313576524,74.01,0,0,25510,286,0,438272,41746652,486084,3.1480553750613813,121.38,34.71,0.03,0.05
