time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
14-6-2021 19:13:9,1623712389.7124267,1500.0,76.3,461.89,165.08,1929.48,12.2,19580918,20550223,0.001571879598953121,0.00036923733967712976,62.322,0,0,33624,332,3731456,548864,42351702,583278,118.59,58.19,0.02,0.07,3.1238002648717553
14-6-2021 19:13:14,1623712394.716238,1500.0,71.3,470.62,169.64,1935.74,12.2,20374482,20739293,0.0015859190984655346,0.00037785197406495083,62.809,0,0,34655,335,3731456,548864,42430496,586770,122.81,61.42,0.02,0.07,3.123998670681077
14-6-2021 19:13:19,1623712399.7173626,1500.0,81.4,480.59,174.42,1940.48,12.1,21247356,20925142,0.0017453554275230585,0.00037161441496680266,64.27,0,0,35684,337,3731456,548864,42508126,589096,128.46,65.57,0.02,0.07,3.124494685204383
14-6-2021 19:13:24,1623712404.720603,1500.0,83.8,490.27,179.79,1945.15,12.2,22059429,21112598,0.0016230941223956356,0.0003746691883707453,64.27,0,0,36713,339,3731456,548864,42585782,591424,133.47,69.66,0.02,0.07,3.1248418953706962
14-6-2021 19:13:29,1623712409.7244534,1500.0,58.3,499.2,184.16,1951.5,12.1,22852127,21294539,0.001584176038689383,0.0003636019930101817,63.296,0,0,37744,342,3731456,548864,42664602,594916,138.23,72.98,0.02,0.07,3.081192617319835
14-6-2021 19:13:34,1623712414.726571,1500.0,68.0,508.73,188.53,1957.03,12.2,23627281,22538703,0.001549651681038333,0.0024872745726492755,63.783,0,0,38778,344,3731456,548864,42742542,597244,142.99,76.54,0.02,0.07,3.0878392119321254
14-6-2021 19:13:39,1623712419.7304096,1500.0,32.9,516.37,192.56,1964.97,12.2,24246810,22708039,0.0012381074951881156,0.0003384121983073831,63.296,0,0,39812,346,3731456,548864,42820466,599572,146.47,79.35,0.02,0.07,3.12513950408468
14-6-2021 19:13:44,1623712424.7305868,1500.0,65.6,526.47,197.13,1969.93,12.2,24999276,22955088,0.001504878683651831,0.0004940804952217126,62.809,0,0,40844,347,3731456,548864,42897270,600736,152.0,82.96,0.02,0.07,3.129107620271122
14-6-2021 19:13:49,1623712429.7344527,1500.0,84.0,534.88,201.7,1976.51,12.2,25716928,23128642,0.0014341950926138529,0.0003468398264109967,64.27,0,0,41878,349,3731456,548864,42975212,603064,156.28,86.5,0.02,0.07,3.1255363157033234
14-6-2021 19:13:54,1623712434.7383368,1500.0,72.2,544.91,205.9,1981.93,12.3,26610004,23317469,0.0017847655665967261,0.00037736086026694257,63.296,0,0,42914,352,3731456,548864,43054338,606554,161.88,89.6,0.02,0.07,3.1246434895613744
14-6-2021 19:13:59,1623712439.7406237,1500.0,68.1,554.15,211.14,1987.09,12.2,27408102,23497986,0.0015954662621275744,0.00036086894496726386,64.757,0,0,43954,354,3731456,548864,43132602,608882,167.16,94.24,0.02,0.07,3.128214794129172
14-6-2021 19:14:4,1623712444.7513313,1500.0,88.6,563.58,216.57,1992.12,12.2,28237633,24185306,0.0016555166723712508,0.0013717024671220342,64.27,0,0,44988,356,3731456,548864,43210600,611210,171.61,97.81,0.02,0.07,3.127173163630231
