time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
29-5-2021 18:42:6,1622328126.863684,1500.0,94.2,458.38,158.1,1710.19,11.2,17713350,17600610,0.0009638548693545735,0.0004003757236125108,0,0,154.0,49.94,0.02,0.07,3.144781679207567,34426,383,175116288,643072,44965619,656569
29-5-2021 18:42:11,1622328131.867651,1500.0,93.2,471.44,163.06,1711.94,11.2,18151379,17819780,0.0008753634784337207,0.000437992492662172,0,0,159.81,52.17,0.02,0.07,3.157826861170495,35473,387,175116288,643072,45045946,661229
29-5-2021 18:42:16,1622328136.8965538,1500.0,90.8,485.13,168.06,1713.19,11.2,18574840,18018039,0.0008420544588829516,0.0003942390797822588,0,0,166.43,54.84,0.02,0.07,3.1322325117679446,36518,390,175116288,643072,45125096,664724
29-5-2021 18:42:21,1622328141.9050906,1500.0,91.8,497.95,173.21,1714.97,11.3,18967479,18214744,0.0007839395305504374,0.00039273945114194923,0,0,172.61,57.73,0.02,0.07,3.1322325117679446,37557,393,175116288,643072,45203925,668217
29-5-2021 18:42:26,1622328146.9101942,1500.0,94.6,511.99,177.54,1716.39,11.2,19351889,18407444,0.0007680360520682062,0.00038500701655405254,0,0,179.53,59.87,0.02,0.07,3.1012812055136973,38596,396,175116288,643072,45282767,671712
29-5-2021 18:42:31,1622328151.9134948,1500.0,82.5,524.96,182.55,1718.17,11.3,19732901,18604829,0.000761521294387841,0.00039450957107058045,0,0,185.73,62.3,0.02,0.07,3.1317364972446393,39629,399,175116288,643072,45361258,675207
29-5-2021 18:42:36,1622328156.9177923,1500.0,91.2,538.2,187.25,1719.89,11.3,20172171,18808062,0.0008777855442221353,0.0004061169429027642,0,0,192.83,65.04,0.02,0.07,3.0957754443050094,40662,402,175116288,643072,45439773,678702
29-5-2021 18:42:41,1622328161.918842,1500.0,92.0,551.67,191.87,1721.56,11.2,20574212,19011426,0.0008039132172939422,0.00040664262481131345,0,0,198.53,67.74,0.02,0.07,3.1434424399946432,41695,405,175116288,643072,45518271,682197
29-5-2021 18:42:46,1622328166.9301548,1500.0,91.2,565.66,196.55,1722.64,11.2,20986755,19209776,0.000823223420269567,0.00039580447471043896,0,0,205.37,69.9,0.02,0.07,3.0904680889056433,42718,408,175116288,643072,45596210,685692
29-5-2021 18:42:51,1622328171.930908,1500.0,88.3,578.32,202.12,1724.57,11.2,21422318,19430201,0.0008709947995637978,0.0004407836035059225,0,0,211.43,72.87,0.02,0.07,3.1336709538855296,43737,412,175116288,643072,45674978,690350
29-5-2021 18:42:56,1622328176.9496937,1500.0,90.5,590.33,207.4,1726.67,11.2,21669262,19611513,0.0004920393378359743,0.00036126666945427365,0,0,216.87,75.81,0.02,0.07,3.1414087804490918,44754,415,175116288,643072,45752573,693845
29-5-2021 18:43:1,1622328181.953832,1500.0,91.5,602.83,212.12,1729.19,11.3,22059808,19883650,0.0007804460667352522,0.0005438239061804021,0,0,222.96,78.09,0.02,0.07,3.13277812774358,45769,417,175116288,643072,45829005,696175
29-5-2021 18:43:6,1622328186.9585538,1500.0,91.0,616.03,217.32,1730.61,11.2,22391847,20087758,0.0006634514523766365,0.0004078308543324445,0,0,229.76,81.13,0.02,0.07,3.144236063231932,46788,421,175116288,643072,45907779,700833
29-5-2021 18:43:11,1622328191.983862,1500.0,90.2,628.95,222.48,1732.43,11.2,22782517,20283052,0.0007774050659679177,0.0003886209459470615,0,0,235.7,83.83,0.02,0.07,3.1443352661365926,47808,423,175116288,643072,45984526,703163
29-5-2021 18:43:16,1622328196.9855037,1500.0,98.8,642.7,227.33,1733.57,11.2,23214494,20488963,0.0008636704137616557,0.00041168682260415783,0,0,242.56,86.21,0.02,0.07,3.161993383166259,48832,427,175116288,643072,46063605,707821
29-5-2021 18:43:21,1622328201.9888165,1500.0,88.4,655.64,231.97,1735.71,11.3,23627604,20695705,0.0008256729378189567,0.00041321022127415634,0,0,249.22,88.7,0.02,0.07,3.0977099009458997,49854,430,175116288,643072,46141510,711316
29-5-2021 18:43:26,1622328206.9922173,1500.0,86.6,668.48,237.01,1737.57,11.2,23955623,20893438,0.0006555920921400887,0.00039519720246429676,0,0,254.87,91.02,0.02,0.07,3.1029180534406047,50876,433,175116288,643072,46219424,714811
29-5-2021 18:43:31,1622328211.9936924,1500.0,93.8,681.23,242.42,1739.16,11.2,24299857,21075126,0.0006882649486600228,0.0003632688287390037,0,0,260.5,94.25,0.02,0.07,3.1423016065910407,51896,435,175116288,643072,46296196,717141
29-5-2021 18:43:37,1622328217.0013561,1500.0,84.1,692.69,246.69,1743.08,11.2,24630461,21259502,0.0006601960875093031,0.0003681876620688657,0,0,266.0,96.54,0.02,0.07,3.144136860327271,52918,438,175116288,643072,46374144,720636
29-5-2021 18:43:42,1622328222.0068865,1500.0,90.7,706.01,251.44,1744.73,11.2,25006857,21454764,0.0007519602781880927,0.00039009252978130306,0,0,272.23,98.93,0.02,0.07,3.126726750559256,53940,441,175116288,643072,46452037,724131
29-5-2021 18:43:47,1622328227.009733,1500.0,95.0,719.39,256.48,1746.07,11.3,25399242,21647871,0.0007843234878672768,0.0003859942550596639,0,0,278.54,101.56,0.02,0.07,3.0898232700253465,54962,444,175116288,643072,46529975,727626
29-5-2021 18:43:52,1622328232.0133495,1500.0,86.0,732.39,261.25,1748.05,11.2,25810482,21842593,0.0008218855184636319,0.0003891625131949113,0,0,285.07,104.39,0.02,0.07,3.147112947467102,55984,447,175116288,643072,46607890,731119
29-5-2021 18:43:57,1622328237.0167842,1500.0,81.6,744.5,266.7,1750.26,11.3,26169222,22037814,0.0007169874786368731,0.0003901739771616463,0,0,290.31,107.21,0.02,0.07,3.1424504109480327,57006,450,175116288,643072,46685803,734614
29-5-2021 18:44:2,1622328242.0202224,1500.0,95.5,757.18,271.58,1752.54,11.2,26509388,22228247,0.0006798644933119749,0.0003806042786606519,0,0,296.44,110.03,0.02,0.07,3.1470633460147717,58028,453,175116288,643072,46763728,738109
29-5-2021 18:44:7,1622328247.0242317,1500.0,92.1,770.38,276.08,1754.63,11.2,26896511,22413954,0.0007736256687485849,0.00037111642053376694,0,0,303.3,112.64,0.02,0.07,3.1434424399946432,59048,455,175116288,643072,46840503,740437
29-5-2021 18:44:12,1622328252.0370512,1500.0,91.0,783.67,280.81,1756.36,11.2,27088211,22593079,0.00038241951242620254,0.0003573338297514008,0,0,309.3,115.13,0.02,0.07,3.1454760995401947,60070,458,175116288,643072,46918406,743932
29-5-2021 18:44:17,1622328257.0673304,1500.0,90.2,797.11,285.52,1758.1,11.2,27439127,22796066,0.0006976074068057854,0.0004035302884031676,0,0,315.25,117.64,0.02,0.07,3.150188237511594,61092,461,175116288,643072,46996305,747425
29-5-2021 18:44:22,1622328262.0688438,1500.0,85.1,809.76,290.47,1760.11,11.2,27764777,22986737,0.0006511029136039944,0.00038122660414490167,0,0,321.74,120.16,0.02,0.07,3.138184686047608,62114,464,175116288,643072,47074221,750920
29-5-2021 18:44:27,1622328267.0720074,1500.0,95.3,822.81,295.35,1761.99,11.3,28140396,23170809,0.0007507629808314965,0.000367911216971493,0,0,327.4,122.4,0.02,0.07,3.1438888530656177,63136,467,175116288,643072,47152140,754415
29-5-2021 18:44:32,1622328272.075534,1500.0,75.9,835.56,300.16,1764.18,11.2,28475415,23353709,0.0006695657301654526,0.0003655421693911727,0,0,333.99,124.85,0.02,0.07,3.0987019299925103,64156,469,175116288,643072,47228889,756745
29-5-2021 18:44:37,1622328277.0788002,1500.0,93.0,847.49,305.32,1766.82,11.3,28789706,23547447,0.0006281716661922851,0.0003872230584546199,0,0,340.12,127.86,0.02,0.07,3.1308932725550203,65178,472,175116288,643072,47306822,760238
29-5-2021 18:44:42,1622328282.1058073,1500.0,88.9,860.06,310.67,1768.67,11.3,29201265,23743156,0.0008186958792183714,0.00038931514515767667,0,0,345.72,130.9,0.02,0.07,3.0958250457573397,66200,475,175116288,643072,47384717,763733
29-5-2021 18:44:47,1622328287.108816,1500.0,95.7,873.46,315.64,1770.1,11.3,29667367,23942128,0.000931643410772298,0.00039770469281012673,0,0,352.06,133.5,0.02,0.07,3.0929977629745,67222,478,175116288,643072,47462678,767228
29-5-2021 18:44:52,1622328292.1093733,1500.0,96.2,886.57,320.93,1771.42,11.3,30037916,24129728,0.0007410153882495056,0.0003751581756680149,0,0,357.43,136.24,0.02,0.07,3.1550987812923164,68244,481,175116288,643072,47540623,770723
