RCoin,RCoinP,Accuracy,Training Losses,Training Times
99.88077196259815,99.88077196259815,0.7972222222222223,"[None, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",118.03453993797302
103.16526816961478,203.0460401322129,0.7972222222222223,"[2.409479856491089, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",114.27664732933044
92.09740580292468,295.1434459351376,0.7972222222222223,"[2.409479856491089, None, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, None, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",128.00991368293762
117.49330643046227,412.6367523655999,0.7972222222222223,"[2.409479856491089, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",100.34087324142456
115.71109382669282,528.3478461922926,0.7972222222222223,"[2.409479856491089, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",101.88634967803955
116.93835151218248,545.405425741877,0.7972222222222223,"[2.409479856491089, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",100.81706142425537
112.51833280077159,554.7584903730337,0.7972222222222223,"[2.409479856491089, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",104.77742314338684
112.18212417181041,574.8432087419195,0.7972222222222223,"[2.409479856491089, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",105.09143996238708
114.23616180321905,571.5860641146762,0.7972222222222223,"[2.409479856491089, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",103.2018301486969
112.31117264480618,568.1861429327896,0.7972222222222223,"[2.409479856491089, 2.3802826404571533, 2.3541176319122314, 2.3304266929626465, 2.3086726665496826, 2.2885892391204834, 2.2698755264282227, 2.2523353099823, 2.2357230186462402, 2.219567060470581, 2.2037456035614014, 2.1880438327789307, 2.172339916229248, 2.1565232276916504, 2.140547513961792, 2.124368906021118, 2.1080615520477295, 2.091881036758423, 2.0757381916046143, 2.0597081184387207, 2.043710947036743, 2.027776002883911, 2.0119428634643555, 1.9961076974868774, 1.9802494049072266, 1.9642657041549683, 1.9481477737426758, 1.9319108724594116, 1.915488600730896, 1.8988202810287476, 1.8818813562393188, 1.8646734952926636, 1.8472100496292114, 1.829512596130371, 1.811517357826233, 1.7931984663009644, 1.7746025323867798, 1.7557905912399292, 1.736694574356079, 1.7173194885253906, 1.697661280632019, 1.6776916980743408, 1.657423496246338, 1.6368643045425415, 1.6160683631896973, 1.5950515270233154, 1.5738507509231567, 1.5525001287460327, 1.531062126159668, 1.5095407962799072, 1.4879692792892456, 1.466385006904602, 1.4447910785675049, 1.4231897592544556, 1.4015781879425049, 1.379942536354065, 1.3583332300186157, 1.3368512392044067, 1.3154808282852173, 1.2941946983337402, 1.2730836868286133, 1.2522298097610474, 1.2316423654556274, 1.2113231420516968, 1.1912544965744019, 1.1714552640914917, 1.1519412994384766, 1.1327061653137207, 1.1137440204620361, 1.095077633857727, 1.0767179727554321, 1.058670997619629, 1.0409297943115234, 1.0234929323196411, 1.0063679218292236, 0.9895469546318054, 0.9730362296104431, 0.95682692527771, 0.940935492515564, 0.9253616333007812, 0.9101016521453857, 0.8951364159584045, 0.8804989457130432, 0.8661836981773376, 0.8521840572357178, 0.8385003805160522, 0.8251192569732666, 0.8120315074920654, 0.799237072467804, 0.7867293953895569, 0.7744983434677124, 0.7625463008880615, 0.7508624196052551, 0.7394388318061829, 0.7282844185829163, 0.7173860669136047, 0.7067376375198364, 0.6963344812393188, 0.6861649751663208, 0.6762205958366394]",104.9706871509552
