time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
26-5-2021 19:48:34,1622072914.5317242,1500.0,63.2,8494.82,3359.42,22984.64,11.1,237824823,252269009,0.0002783260018007729,0.00037174254927310697,0,0,34095,327,0,561152,44642134,573240,93.1,45.61,0.0,0.02,3.151477875272188
26-5-2021 19:48:39,1622072919.5340824,1500.0,91.2,8505.32,3364.72,22988.81,11.1,237959597,252445208,0.0002694209304112102,0.0003522318734883941,0,0,35127,329,0,561152,44718805,575568,99.88,50.53,0.0,0.02,3.141359178996761
26-5-2021 19:48:44,1622072924.537833,1500.0,66.8,8514.23,3369.98,22994.4,11.2,238098514,252627353,0.0002776257494456992,0.00036401694632612916,0,0,36161,332,0,561152,44796641,579058,105.4,55.15,0.0,0.02,3.150039433154603
26-5-2021 19:48:49,1622072929.5415077,1500.0,57.4,8522.74,3375.41,23000.28,11.1,238237019,252811866,0.00027680656126362053,0.000368754983852095,0,0,37195,335,0,561152,44874475,582550,110.41,60.02,0.0,0.02,3.1006859880857314
26-5-2021 19:48:54,1622072934.545325,1500.0,70.2,8531.79,3381.4,23004.99,11.1,238378066,253001518,0.00028187879569445304,0.0003790146359798111,0,0,38229,338,0,561152,44952303,586042,116.21,65.45,0.0,0.02,3.149097005560323
26-5-2021 19:48:59,1622072939.5493853,1500.0,73.3,8540.12,3387.38,23010.5,11.1,238518258,253191563,0.0002801564978847991,0.00037978159695643577,0,0,39263,341,0,561152,45030157,589534,121.04,70.82,0.0,0.02,3.140962367378117
26-5-2021 19:49:4,1622072944.5517254,1500.0,80.8,8549.72,3392.51,23015.71,11.1,238659481,253377792,0.00028231387268350653,0.0003722837653638341,0,0,40297,344,0,561152,45107999,593026,127.13,75.24,0.0,0.02,3.148997802655662
26-5-2021 19:49:9,1622072949.5548203,1500.0,52.9,8558.64,3397.25,23022.04,11.1,238798935,253559495,0.00027873546767492825,0.0003631811972617314,0,0,41331,347,0,561152,45185890,596518,132.68,79.23,0.0,0.02,3.097015480613272
26-5-2021 19:49:14,1622072954.5585842,1500.0,88.5,8567.23,3403.08,23027.53,11.1,238935136,253739315,0.0002721970947030031,0.00035936947283422306,0,0,42363,349,0,561152,45262588,598846,137.69,84.39,0.0,0.02,3.141507983353753
26-5-2021 19:49:19,1622072959.5616767,1500.0,51.4,8575.26,3407.94,23034.42,11.1,239071775,253911534,0.0002731090805376218,0.0003442250948931761,0,0,43397,352,0,561152,45340433,602338,142.12,88.59,0.0,0.02,3.0995947561344597
26-5-2021 19:49:24,1622072964.5656126,1500.0,61.2,8582.9,3412.77,23041.8,11.1,239295957,254162794,0.0004480113421461035,0.0005021247460885796,0,0,44429,354,0,561152,45417154,604666,146.36,92.62,0.0,0.02,3.097164284970264
26-5-2021 19:49:29,1622072969.569532,1500.0,66.0,8591.49,3417.44,23048.38,11.1,239429014,254329709,0.0002659055639130989,0.00033356852477175124,0,0,45467,356,0,561152,45494199,606994,151.44,96.94,0.0,0.02,3.1363990337637087
26-5-2021 19:49:34,1622072974.5722682,1500.0,72.6,8600.95,3422.99,23053.29,11.1,239568941,254521072,0.0002797009291894766,0.0003825166616341793,0,0,46495,359,0,561152,45571751,610486,157.41,101.93,0.0,0.02,3.1474601576334154
26-5-2021 19:49:39,1622072979.57602,1500.0,89.0,8609.67,3428.61,23058.76,11.1,239711628,254715245,0.00028516002990004984,0.0003880548226943055,0,0,47518,362,0,561152,45648998,613978,162.55,106.77,0.0,0.02,3.1413095775444306
26-5-2021 19:49:44,1622072984.57986,1500.0,80.8,8618.39,3434.25,23064.21,11.1,239853111,254908253,0.00028274885059987253,0.00038571976955945373,0,0,48543,366,0,561152,45727381,618632,167.67,111.69,0.0,0.02,3.151725882533841
26-5-2021 19:49:49,1622072989.5818791,1500.0,66.0,8627.59,3439.67,23069.38,11.1,239994973,255097983,0.00028360946902689034,0.0003793068232399931,0,0,49566,369,0,561152,45804631,622125,173.79,116.56,0.0,0.02,3.094337002187424
26-5-2021 19:49:54,1622072994.5856183,1500.0,70.3,8636.88,3444.8,23074.73,11.1,240134758,255285710,0.00027936108715391944,0.00037517343640693806,0,0,50589,372,0,561152,45881909,625620,179.38,121.07,0.0,0.02,3.0980571111122135
26-5-2021 19:49:59,1622072999.5895355,1500.0,66.3,8645.42,3450.25,23080.6,11.1,240273599,255471809,0.00027746462215890545,0.00037190663218465833,0,0,51612,375,0,561152,45959215,629115,184.79,125.8,0.0,0.02,3.1648206659490987
