time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
2-6-2021 18:9:25,1622671765.7444625,1500.0,44.2,429.1,118.9,7536.75,10.5,14146148,25726848,0.0,0.0,64.27,0,0,43.71,5.49,0.01,0.08,2.9478143120030555,12873,152,171352064,241664,40717876,278987
2-6-2021 18:9:33,1622671773.2740831,1500.0,47.1,440.58,120.32,7553.54,10.5,14530914,26941813,0.0005110031673790981,0.0016135806262890847,64.757,0,0,50.44,5.74,0.01,0.08,2.959966667824034,13907,161,171761664,241664,40800119,288374
2-6-2021 18:9:38,1622671778.2823055,1500.0,76.8,452.09,122.18,7560.34,10.5,15542081,27707322,0.002019013795800411,0.001528504422918644,66.218,0,0,56.17,6.14,0.01,0.08,2.9635875738441624,14929,164,172064768,241664,40876057,291503
2-6-2021 18:9:43,1622671783.2844253,1500.0,82.6,464.18,124.22,7565.23,10.6,17129463,28316104,0.003173418610401865,0.0012170480252879697,67.192,0,0,59.48,6.32,0.01,0.08,2.975243915141835,15951,167,172453888,241664,40951984,294632
2-6-2021 18:9:48,1622671788.2877433,1500.0,83.0,474.39,129.48,7569.44,10.6,18105310,28547486,0.0019503996869295597,0.0004624571068632023,66.218,0,0,65.09,10.53,0.01,0.08,3.054655840323005,16972,169,173875200,241664,41027139,296962
2-6-2021 18:9:53,1622671793.292283,1500.0,70.7,485.78,134.98,7572.41,10.6,19147516,28790040,0.0020825211839855065,0.0004846679478533232,67.679,0,0,72.52,15.27,0.01,0.08,3.0616496451016086,17996,173,173875200,241664,41104658,301622
2-6-2021 18:9:58,1622671798.2938244,1500.0,96.2,494.24,141.27,7577.52,10.5,19381450,29029211,0.00046772381233755293,0.00047819458445794486,68.653,0,0,78.53,20.83,0.01,0.08,3.0097169245115496,19022,178,173875200,241664,41183340,307447
2-6-2021 18:10:3,1622671803.2991595,1500.0,48.1,505.29,147.18,7580.43,10.5,19556390,29318105,0.00034950706948786114,0.0005771721466367106,68.166,0,0,86.67,26.07,0.01,0.08,3.013833845054983,20052,185,173875200,241664,41264336,315602
2-6-2021 18:10:8,1622671808.3031824,1500.0,72.0,515.27,152.16,7585.41,10.6,20505616,29555978,0.0018969257954641883,0.00047536353802408787,68.653,0,0,92.61,29.96,0.01,0.08,3.063980913361143,21076,189,173875200,241664,41341839,320260
2-6-2021 18:10:13,1622671813.3039558,1500.0,93.2,527.24,157.2,7588.14,10.6,21512244,29809059,0.0020129446256997217,0.0005060837159474119,69.14,0,0,99.51,33.94,0.01,0.08,3.027821454612191,22102,194,173875200,241664,41420528,326083
