time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
2-6-2021 18:39:47,1622673587.9689515,1500.0,68.3,2868.88,1306.0,11132.88,10.8,78945574,112288647,0.00030681877787644597,0.00043864056123143726,70.601,0,0,3.120080155946966,184.35,80.62,0.0,0.02,32498,396,958464,569344,44585634,651810
2-6-2021 18:39:52,1622673592.9841552,1000.0,57.2,2879.27,1311.26,11137.24,10.8,79093473,112502706,0.0002949012810311282,0.00042682014967134515,70.601,0,0,3.119236931257347,191.06,85.03,0.0,0.02,33511,400,958464,569344,44662574,656468
2-6-2021 18:39:57,1622673597.988015,1500.0,57.4,2889.58,1315.76,11142.26,10.7,79238491,112704064,0.00028981227892572743,0.0004024053625062173,70.601,0,0,3.13555580907409,197.45,89.03,0.0,0.02,34522,403,958464,569344,44738388,659963
2-6-2021 18:40:2,1622673602.992307,1500.0,92.7,2901.05,1320.71,11145.8,10.7,79396917,112950879,0.00031658024680314303,0.0004932066303177366,72.549,0,0,3.135456606169429,205.52,93.37,0.0,0.02,35539,409,958464,569344,44817677,666951
2-6-2021 18:40:7,1622673607.993841,1500.0,92.2,2912.68,1325.07,11149.64,10.7,79551678,113186417,0.00030942706869506914,0.0004709315196095863,72.062,0,0,3.1346133814798094,213.31,96.98,0.0,0.02,36552,413,958464,569344,44894630,671609
2-6-2021 18:40:12,1622673612.9976554,1500.0,59.1,2924.87,1329.72,11152.59,10.7,79716013,113452665,0.0003284194515035341,0.0005320900728628287,72.062,0,0,3.1342165698611653,222.01,101.25,0.0,0.02,37569,419,958464,569344,44973943,678599
2-6-2021 18:40:18,1622673618.0014029,1500.0,76.3,2935.46,1334.51,11157.1,10.7,79869567,113690696,0.0003068779971981068,0.00047570546225472835,72.062,0,0,3.1350597945507848,228.68,105.02,0.0,0.02,38584,424,958464,569344,45052093,684424
2-6-2021 18:40:23,1622673623.0040314,1500.0,93.7,2946.42,1338.66,11161.78,10.8,80125123,114019186,0.0005108434429779609,0.0006566347985718606,72.549,0,0,3.142500012400363,235.98,108.73,0.0,0.02,39599,429,958464,569344,45130205,690249
2-6-2021 18:40:28,1622673628.0086195,1500.0,57.5,2955.62,1343.29,11167.69,10.8,80278509,114246977,0.0003064907562888135,0.00045516432963754917,69.627,0,0,3.1316868957923085,241.61,112.4,0.0,0.02,40612,433,958464,569344,45207214,694909
2-6-2021 18:40:33,1622673633.0124986,1500.0,94.2,2966.67,1348.05,11171.68,10.7,80436338,114494684,0.0003154132979298916,0.000495029948807378,73.036,0,0,3.1359030192404034,249.17,116.7,0.0,0.02,41632,438,958464,569344,45285689,700734
2-6-2021 18:40:38,1622673638.01388,1500.0,82.8,2978.81,1352.54,11174.79,10.8,80595153,114747186,0.00031754226959657464,0.0005048645163093807,71.575,0,0,3.135704613431081,257.29,120.41,0.0,0.02,42654,444,958464,569344,45365357,707722
2-6-2021 18:40:43,1622673643.0183902,1500.0,57.5,2989.01,1356.5,11180.39,10.8,80750230,114980849,0.0003098744830362512,0.0004669048364986398,72.062,0,0,3.132282113220275,264.18,124.0,0.0,0.02,43674,449,958464,569344,45443854,713547
2-6-2021 18:40:48,1622673648.0199058,1500.0,63.7,2999.35,1361.9,11184.59,10.8,80901789,115205069,0.00030302614508417603,0.00044830410764635527,71.088,0,0,3.138184686047608,270.16,128.37,0.0,0.02,44692,453,958464,569344,45521174,718207
2-6-2021 18:40:53,1622673653.0288584,1500.0,48.4,3010.14,1366.88,11188.68,10.7,81053577,115434984,0.0003030334115465368,0.0004590081351340159,72.549,0,0,3.123998670681077,277.7,132.81,0.0,0.02,45716,457,958464,569344,45598814,722865
2-6-2021 18:40:58,1622673658.0326335,1500.0,75.4,3020.54,1372.14,11192.9,10.7,81201597,115648492,0.000295816651341565,0.0004266938359318664,73.036,0,0,3.1129375468113705,284.72,137.54,0.0,0.02,46740,461,958464,569344,45676420,727525
2-6-2021 18:41:3,1622673663.033871,1500.0,88.3,3030.6,1377.11,11197.67,10.7,81359320,115891105,0.0003153679532166865,0.00048510594671519034,73.036,0,0,3.1005867851810702,291.33,141.53,0.0,0.02,47766,466,958464,569344,45755219,733350
2-6-2021 18:41:8,1622673668.0384612,1500.0,55.4,3041.55,1381.56,11201.99,10.7,81516283,116132362,0.00031363806313945653,0.00048207143211352914,72.062,0,0,3.1186417138293807,298.78,145.56,0.0,0.02,48787,471,958464,569344,45833694,739175
2-6-2021 18:41:13,1622673673.042319,1500.0,70.8,3052.0,1385.74,11207.22,10.7,81666740,116362495,0.0003006820027253104,0.00045991114626228,72.062,0,0,3.1322325117679446,305.73,149.2,0.0,0.02,49808,476,958464,569344,45912185,745000
2-6-2021 18:41:18,1622673678.0438735,1500.0,60.5,3063.13,1390.13,11211.49,10.8,81826453,116608811,0.0003193267220159748,0.0004924788893833742,72.549,0,0,3.137936678785955,313.11,152.72,0.0,0.02,50824,481,958464,569344,45990386,750825
2-6-2021 18:41:23,1622673683.045507,1500.0,78.8,3075.19,1395.05,11214.46,10.8,81987198,116861503,0.00032138500957962847,0.0005052189544974679,72.549,0,0,3.1512794694628656,321.85,157.25,0.0,0.02,51842,487,958464,569344,46069721,757815
2-6-2021 18:41:28,1622673688.0491064,1500.0,72.0,3086.48,1399.43,11218.42,10.7,82143691,117100239,0.00031276084938892246,0.00047712852421331176,73.523,0,0,3.138680700570913,329.18,160.73,0.0,0.02,52856,491,958464,569344,46146727,762475
2-6-2021 18:41:33,1622673693.052937,1500.0,93.2,3097.88,1404.22,11222.08,10.8,82304387,117355515,0.0003211459590776205,0.0005101611480652826,73.523,0,0,3.168590376326219,336.87,165.01,0.0,0.02,53868,497,958464,569344,46225725,769463
2-6-2021 18:41:38,1622673698.0538483,1500.0,76.1,3108.56,1408.47,11226.98,10.8,82461453,117597178,0.00031407476076623686,0.0004832379312585225,72.549,0,0,3.114673597642939,343.91,168.64,0.0,0.02,54878,502,958464,569344,46303616,775288
2-6-2021 18:41:43,1622673703.0714257,1500.0,71.5,3119.85,1413.32,11230.73,10.8,82618234,117837856,0.0003124635400652261,0.0004796697297237452,73.036,0,0,3.1509322592965523,351.57,173.02,0.0,0.02,55882,507,958464,569344,46381127,781113
2-6-2021 18:41:48,1622673708.0738661,1500.0,70.6,3130.5,1418.21,11235.08,10.7,82766660,118053358,0.0002967071800396497,0.00043079373366461794,73.523,0,0,3.1032652636069185,358.77,177.34,0.0,0.02,56884,511,958464,569344,46457472,785771
2-6-2021 18:41:53,1622673713.0790565,1500.0,24.6,3138.4,1422.6,11242.7,10.8,82906374,118242478,0.00027913823371944084,0.00037784776587185715,71.575,0,0,3.1512794694628656,362.78,180.77,0.0,0.02,57890,514,958464,569344,46533013,789264
2-6-2021 18:41:58,1622673718.0833695,1500.0,51.4,3144.12,1423.96,11255.42,10.8,83034977,118390253,0.00025698432572687156,0.00029529527875934807,70.601,0,0,3.1397223310698537,364.9,181.42,0.0,0.02,58897,515,958464,569344,46606538,790429
2-6-2021 18:42:3,1622673723.08617,1500.0,33.0,3148.33,1424.86,11270.22,10.7,83155136,118513902,0.00024018347493474085,0.000247159567674546,69.14,0,0,3.094783415258399,365.77,181.71,0.0,0.02,59902,515,958464,569344,46678898,790429
2-6-2021 18:42:8,1622673728.090022,1500.0,67.0,3157.13,1429.2,11276.88,10.6,83310872,118733698,0.00031123221867003194,0.0004392535877048232,70.601,0,0,3.1529659188421038,371.34,185.86,0.0,0.02,60915,519,958464,569344,46755868,795089
2-6-2021 18:42:13,1622673733.0940597,1500.0,65.6,3168.4,1434.14,11280.41,10.8,83576984,119000354,0.0005317945632720464,0.0005328816853951375,73.036,0,0,3.1490474041079923,379.03,189.93,0.0,0.02,61932,525,958464,569344,46835198,802079
2-6-2021 18:42:18,1622673738.0977545,1500.0,74.2,3179.0,1438.72,11284.9,10.8,83737590,119249474,0.00032097481420251386,0.0004978720951529224,72.549,0,0,3.1434424399946432,385.91,193.59,0.0,0.02,62947,530,958464,569344,46913373,807902
2-6-2021 18:42:23,1622673743.1016634,1500.0,61.4,3189.04,1442.62,11290.81,10.8,84015516,119595702,0.0005554177885244914,0.0006919150784210819,74.01,0,0,3.1466169329437967,392.37,196.95,0.0,0.02,63962,535,958464,569344,46991544,813727
2-6-2021 18:42:28,1622673748.10388,1500.0,93.0,3201.04,1447.89,11293.38,10.8,84176176,119848391,0.0003211776169822176,0.000505154057373457,74.01,0,0,3.147360954728754,400.43,201.25,0.0,0.02,64982,540,958464,569344,47070011,819548
2-6-2021 18:42:33,1622673753.1077883,1500.0,94.9,3210.93,1451.72,11299.47,10.8,84328478,120076176,0.00030436608337760883,0.00045521416857407403,72.062,0,0,3.145674505349517,406.94,204.56,0.0,0.02,66000,544,958464,569344,47147329,824208
2-6-2021 18:42:38,1622673758.1133323,1500.0,59.1,3221.95,1456.19,11303.73,10.8,84482831,120307239,0.0003083640891530478,0.00046161416708435,73.036,0,0,3.150138636059264,414.08,208.12,0.0,0.02,67020,549,958464,569344,47225782,830033
2-6-2021 18:42:43,1622673763.1138468,1500.0,69.8,3233.09,1460.34,11308.29,10.8,84638962,120546834,0.0003122298710908025,0.0004791406957234682,72.062,0,0,3.1480057736090514,421.42,211.63,0.0,0.02,68040,554,958464,569344,47304265,835858
2-6-2021 18:42:48,1622673768.1179225,1500.0,61.1,3243.05,1464.57,11314.0,10.7,84781953,120744665,0.000285749070752882,0.0003953397375786825,73.036,0,0,3.11001106112387,427.99,215.55,0.0,0.02,69056,557,958464,569344,47380404,839353
2-6-2021 18:42:53,1622673773.121612,1500.0,70.1,3254.52,1469.64,11317.25,10.8,84940713,120995311,0.0003172858730084988,0.0005009223666294293,74.01,0,0,3.1511306651058746,435.97,219.85,0.0,0.02,70078,563,958464,569344,47460036,846341
2-6-2021 18:42:58,1622673778.129661,1500.0,92.0,3264.63,1474.75,11321.86,10.7,85093177,121220346,0.0003044379151603787,0.00044934664076841634,74.984,0,0,3.1031660607022573,442.71,224.18,0.0,0.02,71096,567,958464,569344,47537380,851001
2-6-2021 18:43:3,1622673783.133475,1500.0,80.7,3276.46,1479.81,11324.85,10.8,85254182,121480513,0.000321764559151995,0.0005199373936268879,73.523,0,0,3.1514282738198576,450.71,228.31,0.0,0.02,72118,573,958464,569344,47616986,857991
2-6-2021 18:43:8,1622673788.133846,1500.0,86.2,3286.96,1484.32,11329.82,10.7,85405997,121704265,0.00030360747358184367,0.0004474707995183921,73.523,0,0,3.15450356386435,458.0,232.48,0.0,0.02,73136,577,958464,569344,47694316,862651
2-6-2021 18:43:13,1622673793.1375813,1500.0,68.8,3298.38,1489.88,11332.58,10.8,85563362,121957264,0.0003144950530816731,0.000505620270928162,73.523,0,0,3.154900375482994,465.53,237.12,0.0,0.02,74158,583,958464,569344,47773980,869639
2-6-2021 18:43:18,1622673798.1425998,1500.0,92.9,3309.03,1494.59,11337.02,10.8,85719837,122198708,0.00031263620874605677,0.0004824038139286335,74.01,0,0,3.1080270030306485,473.09,241.19,0.0,0.02,75178,588,958464,569344,47852483,875464
2-6-2021 18:43:23,1622673803.143848,1500.0,64.6,3320.28,1498.88,11341.25,10.8,85876904,122438936,0.0003140556041046387,0.0004803360964610589,74.01,0,0,3.162638202046556,480.58,244.82,0.0,0.02,76198,593,958464,569344,47930974,881287
2-6-2021 18:43:28,1622673808.1476603,1500.0,65.0,3332.68,1503.1,11344.42,10.7,86033527,122680839,0.00031300734360198044,0.0004834373970575833,74.497,0,0,3.14121037463977,489.52,248.42,0.0,0.02,77218,598,958464,569344,48009451,887112
2-6-2021 18:43:33,1622673813.1551,1500.0,52.5,3341.93,1507.02,11351.07,10.7,86183838,122901530,0.00030017534798175,0.00044072621246243047,74.01,0,0,3.1502378389639247,495.0,251.87,0.0,0.02,78236,602,958464,569344,48086759,891770
2-6-2021 18:43:38,1622673818.1557403,1500.0,96.5,3352.73,1512.64,11354.48,10.7,86339924,123141642,0.0003121320374927202,0.0004801625244189231,74.497,0,0,3.150287440416255,502.38,256.7,0.0,0.02,79256,607,958464,569344,48165246,897595
2-6-2021 18:43:43,1622673823.1578312,1500.0,78.9,3364.08,1517.6,11358.09,10.8,86494547,123375299,0.00030911673165242236,0.00046711865742942544,73.036,0,0,3.149097005560323,509.78,260.86,0.0,0.02,80276,612,958464,569344,48243719,903416
2-6-2021 18:43:48,1622673828.16182,1500.0,78.1,3373.33,1522.24,11364.12,10.8,86641005,123584313,0.00029268251294510024,0.0004176947845847081,74.01,0,0,3.156636426314562,515.44,265.2,0.0,0.02,81292,615,958464,569344,48319888,906911
2-6-2021 18:43:53,1622673833.1738842,1500.0,85.1,3383.09,1526.85,11369.62,10.8,86794492,123810302,0.00030623510256077397,0.0004508900727267244,74.01,0,0,3.151973889795493,521.67,268.98,0.0,0.02,82311,620,958464,569344,48398365,912736
2-6-2021 18:43:58,1622673838.177758,1500.0,91.9,3393.21,1532.19,11373.9,10.8,86941354,124025429,0.00029349660909535496,0.00042992091231807024,74.497,0,0,3.0952298283293733,528.78,273.77,0.0,0.02,83328,624,958464,569344,48475679,917394
2-6-2021 18:44:3,1622673843.1816025,1500.0,69.7,3403.88,1536.5,11378.84,10.8,87096380,124264168,0.00030981378420685124,0.0004771111492766339,74.497,0,0,3.1469641431101105,535.67,277.2,0.0,0.02,84347,629,958464,569344,48554164,923219
2-6-2021 18:44:8,1622673848.1841815,1500.0,93.2,3414.56,1540.57,11383.96,10.8,87249055,124497095,0.00030519258326658274,0.0004656138388245313,74.01,0,0,3.149146607012653,542.83,280.85,0.0,0.02,85367,634,958464,569344,48632667,929044
2-6-2021 18:44:13,1622673853.1879833,1500.0,74.3,3423.45,1545.12,11390.34,10.8,87402417,124719373,0.00030649095514818225,0.0004442182322115495,74.01,0,0,3.1478569692520595,547.91,284.58,0.0,0.02,86385,638,958464,569344,48709985,933704
2-6-2021 18:44:18,1622673858.1919084,1500.0,95.0,3435.6,1549.13,11394.02,10.8,87560492,124962343,0.00031590201154632153,0.0004855588280588945,74.01,0,0,3.1410119688304476,556.48,287.97,0.0,0.02,87405,643,958464,569344,48788504,939525
2-6-2021 18:44:23,1622673863.1938524,1500.0,59.3,3447.07,1553.41,11397.99,10.9,87857729,125339775,0.0005942429506044756,0.0007545706131220152,74.01,0,0,3.142500012400363,564.09,291.68,0.0,0.02,88425,648,958464,569344,48867029,945350
2-6-2021 18:44:28,1622673868.1978333,1500.0,58.4,3456.52,1557.57,11404.22,10.7,88007603,125556915,0.00029950953799267466,0.0004339345121884341,73.523,0,0,3.106439756556072,569.74,295.36,0.0,0.02,89443,652,958464,569344,48944386,950010
2-6-2021 18:44:33,1622673873.202826,1500.0,87.2,3468.19,1562.57,11407.36,10.8,88170127,125819014,0.000324723748823923,0.0005236750870210024,74.497,0,0,3.151973889795493,577.87,299.39,0.0,0.02,90465,658,958464,569344,49024070,956998
2-6-2021 18:44:38,1622673878.2038715,1500.0,51.9,3477.2,1566.79,11413.92,10.7,88320784,126037834,0.0003012510104941837,0.00043754851162798456,73.523,0,0,3.1150208078092527,583.79,303.09,0.0,0.02,91483,662,958464,569344,49101418,961658
2-6-2021 18:44:43,1622673883.2077127,1500.0,62.2,3487.48,1571.24,11418.98,10.8,88478423,126278350,0.0003150359791707792,0.00048066273933632624,73.523,0,0,3.153362730460748,590.17,306.77,0.0,0.02,92503,667,958464,569344,49179927,967483
2-6-2021 18:44:48,1622673888.2115796,1500.0,68.9,3497.52,1576.35,11423.54,10.8,88627864,126496307,0.0002986510286143734,0.00043557713240478167,74.984,0,0,3.1010827997043755,597.07,311.44,0.0,0.02,93521,671,958464,569344,49257272,972141
2-6-2021 18:44:53,1622673893.213871,1500.0,83.7,3508.4,1581.52,11427.29,10.8,88785155,126737556,0.0003144378968245325,0.00048227697815527674,74.01,0,0,3.1425992153050237,604.61,315.82,0.0,0.02,94541,676,958464,569344,49335802,977966
2-6-2021 18:44:58,1622673898.2176635,1500.0,69.2,3518.32,1586.72,11431.97,10.8,88933246,126952223,0.0002959575147844469,0.0004290085948925516,73.036,0,0,3.152271498509476,610.58,320.42,0.0,0.02,95559,680,958464,569344,49413143,982626
2-6-2021 18:45:3,1622673903.221565,1500.0,64.6,3528.55,1590.48,11437.75,10.8,89083135,127170413,0.00029954426670930715,0.0004360397597775936,73.523,0,0,3.107927800125988,617.51,323.47,0.0,0.02,96577,684,958464,569344,49490488,987284
2-6-2021 18:45:8,1622673908.2238657,1500.0,59.0,3540.33,1594.87,11441.35,10.8,89239503,127410881,0.0003125921613866148,0.00048071480011457895,74.01,0,0,3.1300004464130713,625.65,327.54,0.0,0.02,97597,689,958464,569344,49569002,993109
2-6-2021 18:45:13,1622673913.2279444,1500.0,93.1,3552.77,1599.91,11443.71,10.8,89393649,127648579,0.00030804072338033354,0.0004750085235170457,74.984,0,0,3.109019032077259,633.99,331.74,0.0,0.02,98617,694,958464,569344,49647534,998934
2-6-2021 18:45:18,1622673918.2317994,1500.0,70.5,3562.99,1604.57,11448.61,10.9,89553055,127891873,0.00031856638595321286,0.00048621313064816236,74.984,0,0,3.170177622800795,640.67,335.76,0.0,0.02,99637,699,958464,569344,49726065,1004757
2-6-2021 18:45:23,1622673923.234132,1500.0,57.4,3572.58,1608.93,11454.49,10.8,89703279,128109153,0.0003003078951127156,0.00043435735601562227,74.01,0,0,3.147360954728754,646.83,339.38,0.0,0.02,100655,703,958464,569344,49803445,1009417
2-6-2021 18:45:28,1622673928.2379653,1500.0,75.3,3584.03,1614.1,11457.68,10.8,89853914,128342737,0.0003010392056489742,0.00046681011592465227,74.497,0,0,3.1476089619904073,654.76,344.05,0.0,0.02,101675,708,958464,569344,49881977,1015240
2-6-2021 18:45:33,1622673933.2407253,1500.0,75.1,3594.93,1618.46,11462.2,10.8,90011627,128583758,0.00031525198509886246,0.00048177606602190637,73.523,0,0,3.146220121325152,661.9,347.68,0.0,0.02,102695,713,958464,569344,49960521,1021063
2-6-2021 18:45:38,1622673938.2578337,1500.0,57.4,3605.57,1622.94,11466.94,10.8,90170087,128826835,0.0003158392964442137,0.0004844962051102495,74.497,0,0,3.133571750980869,669.26,351.72,0.0,0.02,103710,718,958464,569344,50038735,1026888
2-6-2021 18:45:43,1622673943.2630863,1500.0,92.4,3617.0,1628.37,11469.98,10.8,90332236,129088535,0.0003239576760005966,0.0005228507348756769,74.01,0,0,3.149989831702272,676.83,356.17,0.0,0.02,104727,724,958464,569344,50118094,1033876
2-6-2021 18:45:48,1622673948.2638614,1500.0,74.6,3627.16,1633.58,11474.49,10.8,90481912,129314022,0.0002993056017174157,0.00045090410095442756,74.984,0,0,3.1509818607488826,683.87,360.94,0.0,0.02,105740,728,958464,569344,50195137,1038534
2-6-2021 18:45:53,1622673953.2665324,1500.0,87.9,3636.6,1638.8,11479.7,10.7,90638165,129546931,0.00031233914821827464,0.0004655692925727514,74.984,0,0,3.105249321700139,689.53,365.09,0.0,0.02,106755,733,958464,569344,50273351,1044357
2-6-2021 18:45:58,1622673958.2703674,1500.0,65.9,3646.48,1643.26,11485.27,10.8,90787046,129761843,0.00029753379379114485,0.00042949458084807677,75.471,0,0,3.169483202468168,696.05,369.02,0.0,0.02,107762,737,958464,569344,50350077,1049017
2-6-2021 18:46:3,1622673963.273868,1500.0,77.3,3659.18,1648.13,11487.57,10.8,90941425,130000897,0.0003085419774201174,0.0004777734916678353,74.984,0,0,3.1089694306249287,705.14,373.04,0.0,0.02,108771,742,958464,569344,50427988,1054842
2-6-2021 18:46:8,1622673968.2776666,1500.0,93.4,3671.74,1652.97,11489.91,10.8,91105089,130264821,0.0003270795186838307,0.0005274472998894769,74.497,0,0,3.105695734771114,714.0,377.17,0.0,0.02,109782,748,958464,569344,50507050,1061832
