time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
30-5-2021 22:7:21,1622426841.9074235,1500.0,58.3,1436.51,519.9,12588.62,11.0,36660734,66021698,0.0,0.0,57.939,0,0,13627,338,630784,659456,43631726,608837,33.29,4.04,0.01,0.08,3.1602077308823606
30-5-2021 22:7:29,1622426849.573516,1500.0,42.6,1448.56,521.08,12605.59,10.9,37139197,67205787,0.0006241289242264132,0.001544579609621495,57.939,0,0,14645,347,630784,659456,43713216,618215,40.94,4.3,0.01,0.08,3.1663583109713453
30-5-2021 22:7:34,1622426854.5900807,1500.0,47.3,1456.8,521.95,12616.27,11.0,37460300,68029456,0.0006400854167240547,0.0016418984410226168,57.939,0,0,15651,350,630784,659456,43788479,621341,44.49,4.54,0.01,0.08,3.1807427321471975
30-5-2021 22:7:39,1622426859.5923579,1500.0,84.9,1466.53,526.94,12621.17,10.9,37729243,68379597,0.0005376411436155953,0.000699963217732784,60.374,0,0,16652,353,630784,659456,43863779,624833,50.93,8.76,0.01,0.08,3.2213167201535664
30-5-2021 22:7:44,1622426864.5963259,1500.0,41.8,1474.45,530.79,12629.2,11.0,37978647,68675787,0.0004984124598308103,0.0005919102599689168,59.887,0,0,17657,356,630784,659456,43939344,628325,55.34,12.16,0.01,0.08,3.2601546573283664
30-5-2021 22:7:49,1622426869.6001482,1500.0,66.8,1484.57,535.67,12634.09,11.0,38252102,69029278,0.0005464922256392742,0.0007064419496204226,60.861,0,0,18660,361,630784,659456,44016928,634143,62.45,16.31,0.01,0.08,3.2631803459205284
30-5-2021 22:7:54,1622426874.6023524,1500.0,54.0,1494.63,540.71,12638.73,11.0,38523369,69394180,0.0005422949368948177,0.000729482417923274,62.322,0,0,19666,367,630784,659456,44095760,641127,69.63,20.95,0.01,0.08,3.2658092228940463
30-5-2021 22:7:59,1622426879.6061544,1500.0,73.7,1505.27,545.69,12642.91,11.0,38800194,69754814,0.0005532293176684923,0.000720719955741205,61.835,0,0,20672,373,630784,659456,44174494,648109,76.93,25.08,0.01,0.08,3.260849077660994
30-5-2021 22:8:4,1622426884.6101353,1500.0,80.2,1515.28,549.64,12648.87,11.0,39072661,70106651,0.0005445004823268218,0.0007031141980512208,61.835,0,0,21676,378,630784,659456,44252054,653927,83.67,28.41,0.01,0.08,3.2667020490359957
30-5-2021 22:8:9,1622426889.6123269,1500.0,78.7,1526.79,554.57,12652.29,11.0,39351913,70481901,0.0005582593100787047,0.0007501711934275634,62.809,0,0,22682,384,630784,659456,44330804,660911,91.89,32.77,0.01,0.08,3.2691821216525216
