time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel
12-6-2021 18:15:49,1623536149.1371071,1500.0,76.6,362.72,127.76,1022.9,10.4,9431476,11770873,0.0002989995558914652,0.0004237307606979175,71.575,0,0,159.81,64.96,0.02,0.08,33555,323,175108096,438272,42334198,529144,3.101926024393994
12-6-2021 18:15:54,1623536154.1410363,1500.0,93.7,374.5,131.59,1027.12,10.5,9585919,11998381,0.0003086434594396798,0.00045465871661520867,74.497,0,0,167.7,68.37,0.02,0.08,34578,327,175108096,438272,42411238,533800,3.103959683939546
12-6-2021 18:15:59,1623536159.1433957,1500.0,65.3,385.06,136.07,1031.91,10.5,9738164,12219300,0.00030434638562049386,0.0004416296046825438,74.01,0,0,174.34,72.03,0.02,0.08,35603,332,175108096,438272,42489425,539616,3.1021740316556468
12-6-2021 18:16:4,1623536164.1458256,1500.0,93.7,397.52,140.13,1035.12,10.4,9898933,12459474,0.00032138181087224915,0.0004801146679050785,74.01,0,0,183.26,75.34,0.02,0.08,36628,337,175108096,438272,42567614,545436,3.0958250457573397
12-6-2021 18:16:9,1623536169.1498818,1500.0,92.2,410.38,144.64,1037.66,10.4,10050915,12689678,0.0003037176111965519,0.00046003479996243663,74.497,0,0,192.05,79.14,0.02,0.08,37653,342,175108096,438272,42645809,551256,3.1055469304141226
12-6-2021 18:16:14,1623536174.1533885,1500.0,76.8,419.98,148.75,1043.71,10.4,10205805,12907938,0.000309562893608132,0.00043621406907425194,73.523,0,0,197.67,82.46,0.02,0.08,38676,346,175108096,438272,42722867,555912,3.103513270868571
12-6-2021 18:16:19,1623536179.1572983,1500.0,63.4,430.27,153.15,1048.84,10.4,10356563,13122553,0.00030128040918778084,0.00042889461930932743,73.523,0,0,204.41,86.53,0.02,0.08,39699,350,175108096,438272,42799925,560568,3.1065885609130635
12-6-2021 18:16:24,1623536184.1612337,1500.0,95.8,442.68,158.6,1050.88,10.4,10514509,13361146,0.0003156435672340029,0.00047681071782167605,74.01,0,0,212.96,91.26,0.02,0.08,40724,355,175108096,438272,42878163,566388,3.1011820026090366
12-6-2021 18:16:29,1623536189.1668496,1500.0,64.3,453.91,163.32,1054.67,10.4,10672193,13595732,0.00031501417924727584,0.0004686456219584831,74.497,0,0,219.9,94.98,0.02,0.08,41749,360,175108096,438272,42956417,572208,3.054755043227666
12-6-2021 18:16:34,1623536194.1694658,1500.0,83.0,464.26,168.59,1058.85,10.4,10818370,13804361,0.0002922011106154069,0.00041703979084658816,74.01,0,0,226.21,99.55,0.02,0.08,42772,364,175108096,438272,43033483,576864,3.1051997202478088
12-6-2021 18:16:39,1623536199.1733844,1500.0,82.8,473.52,172.59,1065.35,10.4,10969604,14018563,0.0003022311325295327,0.00042806851005786366,74.984,0,0,231.47,102.92,0.02,0.08,43795,368,175108096,438272,43110549,581520,3.1019756258463245
12-6-2021 18:16:44,1623536204.1742113,1500.0,79.8,484.23,177.33,1069.65,10.5,11122245,14233999,0.00030523152473984727,0.00043080075971628685,75.958,0,0,238.75,107.15,0.02,0.08,44818,372,175108096,438272,43187618,586176,3.0576815289151664
12-6-2021 18:16:49,1623536209.1838343,1500.0,95.0,494.74,181.99,1074.4,10.4,11279736,14469505,0.00031437694694078333,0.00047010722686525655,75.471,0,0,245.02,110.92,0.02,0.08,45843,377,175108096,438272,43265863,591996,3.1058941405804363
12-6-2021 18:16:54,1623536214.1875715,1500.0,93.1,508.02,186.32,1076.59,10.5,11434943,14703821,0.0003101821567522482,0.0004682819862606699,76.445,0,0,255.0,114.5,0.02,0.08,46868,382,175108096,438272,43344105,597819,3.1103582712901834
12-6-2021 18:16:59,1623536219.1913204,1500.0,93.9,520.59,191.71,1078.4,10.4,11592189,14943642,0.0003142563772470554,0.00047928264405941055,75.471,0,0,263.77,119.2,0.02,0.08,47891,386,175108096,438272,43421198,602479,3.1051997202478088
12-6-2021 18:17:4,1623536224.193422,1500.0,73.7,532.37,196.51,1081.5,10.5,11745340,15170651,0.00030617330557591193,0.0004538272419081964,74.984,0,0,271.51,122.98,0.02,0.08,48916,391,175108096,438272,43499478,608304,3.1051501187954784
12-6-2021 18:17:9,1623536229.203538,1500.0,70.0,544.58,200.69,1085.06,10.5,11907560,15412269,0.00032378492727854245,0.00048226030427312827,75.471,0,0,280.22,126.49,0.02,0.08,49941,396,175108096,438272,43577759,614129,3.0894760598590327
12-6-2021 18:17:14,1623536234.2075567,1500.0,93.4,555.56,204.88,1089.54,10.5,12067324,15650447,0.0003192713834819807,0.00047597343315747726,75.958,0,0,287.01,130.09,0.02,0.08,50968,402,175108096,438272,43657193,621119,3.0995947561344597
12-6-2021 18:17:19,1623536239.21148,1500.0,82.5,565.53,208.64,1095.55,10.5,12219113,15865316,0.00030333998866303205,0.0004294010766527023,75.471,0,0,292.78,133.23,0.02,0.08,51991,406,175108096,438272,43734273,625777,3.1089694306249287
12-6-2021 18:17:24,1623536244.2135644,1500.0,59.7,575.44,212.81,1101.21,10.4,12370286,16082781,0.000302220004864572,0.00043474875379779555,74.984,0,0,298.97,136.99,0.02,0.08,53002,410,175108096,438272,43810705,630437,3.0766788851577576
12-6-2021 18:17:29,1623536249.219441,1500.0,92.9,587.23,217.06,1104.94,10.5,12522032,16298288,0.00030313572209176453,0.0004305080203816239,75.958,0,0,306.86,140.58,0.02,0.08,54013,414,175108096,438272,43887103,635095,3.1035628723209014
12-6-2021 18:17:34,1623536254.2231271,1500.0,91.4,597.99,222.4,1108.43,10.5,12777835,16608770,0.0005112291025145541,0.0006205065390434193,75.471,0,0,313.78,144.97,0.02,0.08,55024,418,175108096,438272,43963498,639755,3.055647869369615
12-6-2021 18:17:39,1623536259.2244754,1500.0,70.4,610.53,227.24,1110.82,10.5,12938855,16850683,0.0003219531848687919,0.0004836955708058878,75.958,0,0,322.0,149.04,0.02,0.08,56031,423,175108096,438272,44040753,645580,3.099346748872807
12-6-2021 18:17:44,1623536264.2282856,1500.0,83.8,623.33,231.07,1114.12,10.5,13087208,17064258,0.0002964800722639632,0.0004268247452614773,76.445,0,0,330.59,152.29,0.02,0.08,57047,427,175108096,438272,44117506,650240,3.1057453362234444
12-6-2021 18:17:49,1623536269.2405238,1500.0,60.7,634.14,235.81,1118.77,10.4,13245341,17297565,0.0003154937807588514,0.00046547467958936683,75.471,0,0,337.5,156.32,0.02,0.08,58065,432,175108096,438272,44195445,656063,3.1013804084183585
12-6-2021 18:17:54,1623536274.243462,1500.0,94.0,645.14,239.66,1123.62,10.5,13398531,17517301,0.00030620006027494293,0.000439213894148279,76.445,0,0,344.41,159.58,0.02,0.08,59083,437,175108096,438272,44273351,661886,3.100189973562426
12-6-2021 18:17:59,1623536279.2468684,1500.0,74.2,655.35,243.38,1129.43,10.5,13554724,17742990,0.00031217332965656263,0.00045107070481301956,75.958,0,0,350.22,162.31,0.02,0.08,60099,441,175108096,438272,44350120,666546,3.110804684361158
12-6-2021 18:18:4,1623536284.2507548,1500.0,95.0,668.51,247.76,1131.7,10.5,13711977,17979679,0.0003142617267947921,0.0004730103327334457,76.932,0,0,359.97,166.22,0.02,0.08,61122,446,175108096,438272,44428390,672371,3.1001403721100953
12-6-2021 18:18:9,1623536289.253661,1500.0,85.9,681.11,251.9,1134.93,10.4,13870894,18217673,0.0003176493768418157,0.00047571150847354964,76.932,0,0,368.22,169.43,0.02,0.08,62145,451,175108096,438272,44506629,678196,3.050142108160927
12-6-2021 18:18:14,1623536294.2574213,1500.0,64.4,693.69,256.39,1137.82,10.5,14032823,18474558,0.0003236146199404859,0.0005133839006194797,76.932,0,0,377.01,173.35,0.02,0.08,63170,457,175108096,438272,44586031,685184,3.111449503241455
12-6-2021 18:18:19,1623536299.2608185,1500.0,79.7,706.34,261.22,1140.11,10.5,14189543,18709854,0.00031322717927563195,0.0004702724755923883,76.932,0,0,385.2,177.24,0.02,0.08,64193,462,175108096,438272,44664234,691009,3.106836568174716
